Species                Kbu       Ktd      Kdir    Kindir         K
ScomBarr           0.11111   7.08543   3.32222   3.87432   7.19654
Ssha               0.00000  14.00000   3.37778  10.62222  14.00000
SnapGroup          0.22222   3.78439   2.42222   1.58439   4.00661
Carang             0.37500   0.52233   0.65833   0.23899   0.89733
Mack               0.26389   0.32685   0.43611   0.15463   0.59074
Squid              0.53889   0.52233   0.74722   0.31399   1.06121
Gru                0.37500   1.32515   1.15833   0.54182   1.70015
Odem               1.23056   0.77233   1.55833   0.44455   2.00288
CatFish            0.37500   1.06771   1.07500   0.36771   1.44271
Croak              0.22222   0.81771   0.70000   0.33993   1.03993
Spela              3.39144   0.50926   2.84722   1.05347   3.90069
Zoopl              6.46532   0.58333   3.48333   3.56532   7.04865
HetBenth           2.75949   0.75926   2.59722   0.92153   3.51875
Phyto              7.18154   0.00000   1.33333   5.84821   7.18154
BenthProd          5.81846   0.00000   1.28333   4.53513   5.81846
