TI3;"Ssha""""";"ScomBarr""""";"SnapGroup""""";"Carang""""";"Odem""""";"CatFish""""";"Gru""""";"Croak""""";"Spela""""";"HetBenth""""";"Mack""""";"Squid""""";"Zoopl""""";"BenthProd""""";"Phyto""""";;SUM;;;
"BenthProd""""";0,02;0,02;0,02;0,02;0,06;0,07;0,02;0,02;0,02;0,05;0,02;0,02;0,05;0,04;0,03;;0,48;;thresold;0,09
"Carang""""";0,07;0,06;0,07;0,04;0,03;0,04;0,04;0,04;0,06;0,06;0,04;0,04;0,06;0,03;0,04;;0,70;;;
"CatFish""""";0,08;0,07;0,07;0,05;0,08;0,06;0,05;0,05;0,07;0,07;0,05;0,04;0,07;0,13;0,05;;0,98;;;
"Croak""""";0,07;0,06;0,03;0,04;0,07;0,04;0,04;0,04;0,06;0,06;0,03;0,03;0,06;0,04;0,04;;0,70;;;
"Gru""""";0,08;0,07;0,08;0,05;0,07;0,05;0,05;0,05;0,07;0,07;0,05;0,1;0,07;0,04;0,05;;0,95;;;
"HetBenth""""";0,1;0,09;0,09;0,12;0,1;0,11;0,11;0,12;0,07;0,08;0,06;0,12;0,1;0,15;0,17;;1,59;;;
"Mack""""";0,02;0,05;0,05;0,03;0,02;0,02;0,02;0,02;0,05;0,02;0,04;0,03;0,05;0,02;0,03;;0,47;;;
"Odem""""";0,09;0,08;0,08;0,06;0,07;0,1;0,09;0,11;0,08;0,09;0,05;0,06;0,08;0,14;0,05;;1,24;;;
"Phyto""""";0,01;0,01;0,01;0,02;0,02;0,02;0,02;0,02;0,04;0,04;0,02;0,02;0,05;0,02;0,03;;0,35;;;
"ScomBarr""""";0,1;0,07;0,1;0,11;0,09;0,1;0,1;0,11;0,09;0,09;0,14;0,11;0,06;0,05;0,05;;1,39;;;
"SnapGroup""""";0,09;0,09;0,07;0,11;0,08;0,09;0,1;0,06;0,09;0,08;0,13;0,11;0,06;0,05;0,05;;1,25;;;
"Spela""""";0,1;0,1;0,1;0,12;0,09;0,1;0,11;0,12;0,08;0,07;0,15;0,12;0,1;0,06;0,17;;1,59;;;
"Squid""""";0,03;0,06;0,07;0,04;0,03;0,03;0,08;0,03;0,06;0,06;0,04;0,04;0,06;0,03;0,04;;0,70;;;
"Ssha""""";0,06;0,08;0,08;0,1;0,08;0,09;0,09;0,1;0,08;0,08;0,05;0,05;0,05;0,05;0,04;;1,09;;;
"Zoopl""""";0,06;0,06;0,06;0,11;0,09;0,1;0,1;0,11;0,09;0,09;0,13;0,11;0,08;0,15;0,17;;1,51;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
WI3;"Ssha""""";"ScomBarr""""";"SnapGroup""""";"Carang""""";"Odem""""";"CatFish""""";"Gru""""";"Croak""""";"Spela""""";"HetBenth""""";"Mack""""";"Squid""""";"Zoopl""""";"BenthProd""""";"Phyto""""";;SUM;;;
"BenthProd""""";146106788,9;2481395466;2021598431;38522785605;3257225036;1299430251;1167749549;486416603,9;6,25859E+12;1,60673E+12;8821159680;8104287849;1,02763E+14;15129303916;1,45553E+12;;112165443594184,00;;thresold;598808690411,46
"Carang""""";159532331,7;2760010170;2234026493;73239420650;2457012769;1520591764;1567798957;672340252,3;7,11645E+12;1,66149E+12;17419504238;14383233995;1,14984E+14;57784178408;6,83546E+12;;130771730518219,00;;;598808690411,46
"CatFish""""";2806217,78;35786318,59;33993989,18;2027455685;86668567,52;37763575,53;36030906,8;16276093,51;1,02218E+11;26463174612;491238240,8;376463960,8;1,58879E+12;2598860501;2,75614E+11;;1998827314137,90;;;
"Croak""""";946942,34;13376436,36;11299660,17;672340252,3;31744741,36;12207070,13;10623458,03;4620414,44;38052911612;10293767822;164082469,6;125360208,2;5,96112E+11;729624905,8;89505311327;;735740496153,97;;;
