Species                    Kbu       Ktd      Kdir    Kindir         K
Cet                    0.04545   4.76955   1.63842   3.17659   4.81501
Sha                    0.00000  13.25287   3.26044   9.99243  13.25287
Jsha                   0.12238   3.26499   1.38239   2.00498   3.38737
HalTur                 0.00000   5.99728   1.90569   4.09159   5.99728
JraySkate              0.06574   1.05588   0.62847   0.49314   1.12161
OpredFish              0.44621   5.96687   3.48547   2.92760   6.41307
Cod                    0.30285   5.88898   2.81036   3.38147   6.19183
Seal                   0.00000   6.63679   2.33565   4.30113   6.63679
Bird                   0.00000   4.99254   1.63441   3.35813   4.99254
Jcod                   1.43296   1.23857   1.86720   0.80433   2.67153
RaySkate               0.00000   2.45990   0.86873   1.59117   2.45990
Whit                   0.47855   1.86129   1.54140   0.79844   2.33984
Jwhit                  1.49754   1.36526   1.99729   0.86551   2.86280
Jsaithe                0.70249   0.96656   1.05855   0.61050   1.66905
HorMack                0.69484   1.25693   1.23786   0.71392   1.95177
Cepha                  0.52636   2.41262   1.94779   0.99120   2.93899
Gurna                  0.51238   1.01833   1.08243   0.44829   1.53071
BlueTuna               0.00000   3.40423   1.49978   1.90445   3.40423
Saithe                 0.24009   1.60345   1.18434   0.65920   1.84354
NseaMack               0.45813   1.20896   1.12437   0.54273   1.66710
Wmack                  0.51077   1.20896   1.17700   0.54273   1.71973
SalTrout               0.14354   1.30152   0.81929   0.62576   1.44506
Hadd                   0.94090   0.65049   1.15541   0.43598   1.59139
Jhadd                  1.94387   0.43208   1.51115   0.86479   2.37594
Herr                   2.20261   0.56224   2.01727   0.74758   2.76485
Sprat                  2.25218   0.27385   1.56313   0.96290   2.52603
NorPout                2.79896   0.44823   2.03282   1.21437   3.24719
Sande                  3.52513   0.27385   2.25621   1.54276   3.79897
Plai                   1.01054   0.37508   0.96805   0.41757   1.38562
Sole                   0.44204   0.49167   0.55893   0.37478   0.93372
Brill                  0.40916   0.31529   0.50223   0.22222   0.72445
OpreyFish              3.49673   0.31529   2.18144   1.63058   3.81203
EdiCrabLobs            0.13614   0.83881   0.69814   0.27682   0.97496
Zoopl                  7.88913   0.36111   2.34477   5.90547   8.25024
Eupha                  5.56251   0.98210   2.88896   3.65565   6.54461
Ocrus                 10.43226   0.98097   5.10415   6.30907  11.41323
Stur                   0.00000   0.25639   0.14935   0.10704   0.25639
Echino                 4.58696   0.60440   2.57180   2.61956   5.19136
Polych                 9.26631   0.23688   2.87399   6.62919   9.50319
OMacroBenth            5.92826   0.71708   3.26579   3.37954   6.64533
MeioFau               16.55654   0.42130   2.30952  14.66832  16.97784
BenthMicroFlo         15.06851   0.36111   1.80952  13.62010  15.42962
PlankMicroFlo         25.98828   0.16667   2.25000  23.90495  26.15495
Phyto                 43.00000   0.00000   2.50000  40.50000  43.00000
