TI3;"Lpred""""";"Mpred""""";"LzooBenthFeed""""";"PlFeed""""";"Zoopl""""";"DemFeed""""";"MesoPelaFeed""""";"Det""""";"MollFeed""""";"Phyto""""";;SUM
"Lpred""""";0,07;0,11;0,11;0,08;0,09;0,05;0,05;0,04;0,04;0,06;;0,69
"Mpred""""";0,16;0,09;0,14;0,11;0,11;0,13;0,13;0,07;0,06;0,07;;1,06
"LzooBenthFeed""""";0,16;0,14;0,09;0,11;0,11;0,13;0,13;0,07;0,06;0,07;;1,06
"PlFeed""""";0,18;0,16;0,16;0,13;0,16;0,16;0,16;0,19;0,22;0,26;;1,8
"Zoopl""""";0,18;0,15;0,15;0,14;0,11;0,15;0,15;0,1;0,19;0,26;;1,58
"DemFeed""""";0,08;0,13;0,13;0,11;0,11;0,09;0,13;0,15;0,08;0,07;;1,07
"MesoPelaFeed""""";0,08;0,13;0,13;0,11;0,11;0,13;0,09;0,15;0,08;0,07;;1,07
"Det""""";0,04;0,05;0,05;0,09;0,05;0,1;0,1;0,08;0,16;0,05;;0,76
"MollFeed""""";0,03;0,03;0,03;0,07;0,07;0,04;0,04;0,12;0,06;0,05;;0,55
"Phyto""""";0,03;0,02;0,02;0,06;0,06;0,02;0,02;0,02;0,03;0,04;;0,35
;;;;;;;;;;;;
;;;;;;;;;;;;
TO3;"Lpred""""";"Mpred""""";"LzooBenthFeed""""";"PlFeed""""";"Zoopl""""";"DemFeed""""";"MesoPelaFeed""""";"Det""""";"MollFeed""""";"Phyto""""";;SUM
"DemFeed""""";0;0;0;0,1;0,05;0;0,05;0;0;0;;0,2
"Det""""";0;0;0;0,05;0,05;0;0;0;0;0;;0,1
"Lpred""""";0;0;0;0;0;0;0;0;0;0;;0
"LzooBenthFeed""""";0;0,05;0;0,1;0,1;0;0;0;0;0;;0,25
"MesoPelaFeed""""";0;0;0;0,1;0,05;0,05;0;0;0;0;;0,2
"MollFeed""""";0;0;0;0;0;0;0;0;0;0;;0
"Mpred""""";0;0;0,05;0,1;0,1;0;0;0;0;0;;0,25
"Phyto""""";0;0;0;0;0;0;0;0;0;0;;0
"PlFeed""""";0;0,1;0,1;0;0,35;0,1;0,1;0,05;0;0;;0,8
"Zoopl""""";0;0,1;0,1;0,35;0;0,05;0,05;0,05;0;0;;0,7
