TI3;"RedGroup""""";"Snap""""";"Sha""""";"Gru""""";"KingMack""""";"Mojar""""";"Jack""""";"Shri""""";"Lobs""""";"Crab""""";"Octo""""";"Herr""""";"Trout""""";"Zoopl""""";"Porg""""";"Omollu""""";"MicroCrus""""";"Anne""""";"BenthProd""""";"Phyto""""";;SUM;;
"Anne""""";0,03;0,03;0,03;0,06;0,03;0,06;0,04;0,05;0,07;0,06;0,03;0,07;0,07;0,04;0,08;0,06;0,07;0,05;0,08;0,04;;1,04;thresold:;0,07
"BenthProd""""";0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,04;0,06;0,05;0,02;0,06;0,03;0,06;0,07;0,05;0,03;0,06;0,04;0,03;;0,75;;
"Crab""""";0,07;0,04;0,06;0,06;0,04;0,04;0,08;0,06;0,04;0,05;0,06;0,04;0,07;0,07;0,04;0,06;0,06;0,07;0,08;0,04;;1,13;;
"Gru""""";0,08;0,07;0,07;0,05;0,09;0,05;0,08;0,06;0,04;0,07;0,07;0,04;0,04;0,06;0,08;0,06;0,07;0,07;0,04;0,04;;1,24;;
"Herr""""";0,03;0,06;0,06;0,04;0,08;0,04;0,07;0,06;0,04;0,04;0,04;0,05;0,07;0,06;0,08;0,04;0,06;0,07;0,08;0,03;;1,07;;
"Jack""""";0,06;0,02;0,03;0,05;0,03;0,03;0,04;0,04;0,02;0,05;0,05;0,05;0,03;0,02;0,03;0,05;0,05;0,03;0,02;0,03;;0,73;;
"KingMack""""";0,06;0,03;0,06;0,05;0,04;0,06;0,03;0,04;0,02;0,02;0,05;0,05;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;;0,64;;
"Lobs""""";0,06;0,06;0,06;0,03;0,03;0,04;0,03;0,05;0,04;0,03;0,05;0,03;0,04;0,06;0,03;0,05;0,05;0,06;0,07;0,04;;0,94;;
"MicroCrus""""";0,03;0,03;0,03;0,06;0,03;0,06;0,08;0,06;0,06;0,06;0,04;0,07;0,07;0,05;0,08;0,07;0,05;0,07;0,04;0,15;;1,21;;
"Mojar""""";0,07;0,07;0,06;0,04;0,08;0,04;0,03;0,05;0,04;0,03;0,06;0,03;0,03;0,06;0,03;0,05;0,05;0,05;0,03;0,03;;0,94;;
"Octo""""";0,08;0,08;0,08;0,07;0,09;0,08;0,08;0,06;0,07;0,07;0,05;0,04;0,07;0,04;0,07;0,06;0,04;0,04;0,04;0,03;;1,24;;
"Omollu""""";0,04;0,04;0,04;0,07;0,03;0,07;0,08;0,06;0,08;0,07;0,07;0,05;0,07;0,08;0,09;0,06;0,08;0,08;0,09;0,16;;1,41;;
"Phyto""""";0;0,01;0;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,04;0,04;0,01;0,01;0,03;;0,29;;
"Porg""""";0,02;0,02;0,02;0,05;0,02;0,02;0,03;0,04;0,03;0,03;0,04;0,06;0,03;0,03;0,04;0,05;0,05;0,06;0,07;0,03;;0,74;;
"RedGroup""""";0,05;0,07;0,07;0,06;0,09;0,07;0,07;0,05;0,06;0,06;0,06;0,03;0,03;0,03;0,02;0,03;0,03;0,03;0,02;0,02;;0,94;;
"Sha""""";0,08;0,08;0,05;0,06;0,09;0,07;0,04;0,05;0,06;0,06;0,07;0,06;0,07;0,03;0,03;0,03;0,03;0,03;0,03;0,02;;1,03;;
"Shri""""";0,09;0,09;0,09;0,08;0,1;0,09;0,1;0,06;0,09;0,08;0,08;0,09;0,09;0,08;0,1;0,08;0,08;0,09;0,1;0,05;;1,73;;
"Snap""""";0,07;0,04;0,07;0,05;0,04;0,07;0,03;0,05;0,06;0,03;0,06;0,06;0,06;0,06;0,03;0,03;0,03;0,03;0,03;0,02;;0,93;;
"Trout""""";0,03;0,06;0,06;0,03;0,03;0,03;0,03;0,05;0,04;0,06;0,05;0,06;0,04;0,06;0,03;0,05;0,06;0,06;0,04;0,04;;0,92;;
"Zoopl""""";0,03;0,07;0,03;0,05;0,03;0,06;0,03;0,05;0,07;0,06;0,03;0,06;0,07;0,05;0,04;0,06;0,04;0,04;0,08;0,15;;1,11;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"RedGroup""""";"Snap""""";"Sha""""";"Gru""""";"KingMack""""";"Mojar""""";"Jack""""";"Shri""""";"Lobs""""";"Crab""""";"Octo""""";"Herr""""";"Trout""""";"Zoopl""""";"Porg""""";"Omollu""""";"MicroCrus""""";"Anne""""";"BenthProd""""";"Phyto""""";;SUM;;
"Anne""""";63542411,27;92223063,96;11263916,05;4969773048;113552061,2;3582250063;251566784,2;28447035195;6453514898;7259111294;1106313061;3419944388;18802433,84;1,01786E+12;47490130,28;27884728642;3,93497E+11;8909890637;1,36325E+11;2,748E+11;;1915109218098,34;thresold:;4282539729,49
"BenthProd""""";51373991,61;36919134,17;8999068,83;1579476670;98633525,63;5503829758;331685421,5;7979920566;5597570906;7421129138;463437123,8;4462192976;23139102,13;8,39755E+11;98660645,53;31234511802;2,44497E+11;99145752451;5018603886;2,44103E+11;;1497410179145,49;;4282539729,49
"Crab""""";11203723,81;14571354,3;1988466,07;498571806,5;19609133,34;653661131,2;47585667,12;2848296149;891439044,6;1090167556;162695096,7;563714337;2975109,17;2,50538E+11;10772887,36;6860321833;80869101940;7919030503;11131693707;34107741212;;398242800401,09;;
"Gru""""";5213234,07;6115586,66;967634,55;166055136,6;10449340,34;357811373;27055614,34;931162909,8;419568023;540119457,1;62447444,71;290313455;1504567,11;1,90836E+11;6532813,97;4989777775;57334309355;5873368148;2566649588;14481877634;;278907193478,13;;
"Herr""""";6229324,46;9185933,57;1191038,44;245649846,5;13716247;274065634,5;28354854,64;1469988103;424037227,1;516738142,2;88942322,35;231045522,9;1181637,63;3,4256E+11;5154076,54;8096544748;1,04289E+11;3419944388;6135515341;10411339747;;478227981370,16;;
"Jack""""";330517,98;504597,83;64058,03;16649608,83;445441,26;20277613,05;1083645,15;84723631,54;25629403,25;31723778,08;4838683,1;20621712,47;115874,67;2086511925;270911,73;85777590,82;831689698,5;182957661,2;331685421,5;2062770455;;5788672229,36;;
"KingMack""""";94646,62;111009,45;19098,23;5626567,87;121617,65;8741907,32;389761,11;24520125,51;9269242,71;11438661,11;1249666,19;8728520,82;51152,48;7662083,93;101645,3;13368126,4;55437999,59;72260402,6;86304334,93;966624795,7;;1272121365,53;;
"Lobs""""";7624111,45;9811419,59;1349603,3;322744633,1;13241775,29;453825551,1;32036754,07;1856412458;597651904,4;742865870,5;95744570,13;385488388,3;1991310,92;1,36359E+11;7442334,33;3965044558;44719120370;5866831725;6996963632;21551337166;;223986597879,04;;
"MicroCrus""""";53197714,49;160383917;9127293,98;52923977866;95036570,72;65998948600;1247534548;1,25542E+11;53662944444;80869101940;993871967,7;1,1377E+11;670307525,7;23183630165;533197596;1,79827E+11;6751711618;4,29269E+11;3,66745E+11;1,98011E+13;;21303388153775,10;;
"Mojar""""";6975954,72;10589712,67;1255210,44;275239517,7;12488439,03;314764885,9;25347016,31;1658868474;453825551,1;544717609,3;88820909,33;249150576,9;1280909,87;1,71021E+11;4888482,42;4312826245;54999123834;3256590967;6879787198;9960833412;;254078665921,75;;
"Octo""""";1891293,81;2489623,85;479754,74;62447444,71;2320808,65;115467182,1;7862860,05;248182116,8;124467941,2;176253021,5;12054221,44;105113653,7;618846,24;2343378299;1671453,16;269251017,2;1076694632;1307460890;753085326,1;10249679607;;16860869992,90;;
"Omollu""""";11434676,05;23226473,11;2231357,16;5373606835;26736252,8;6037956744;150110783,9;15255240532;5551062382;8003708805;289962634;10304693316;60653073,35;6,66746E+11;52293182,61;30895200843;2,09798E+11;35489654635;54660395653;1,77029E+12;;2819024744324,97;;
"Phyto""""";149666264,6;235745875,3;31740607,15;3341971762;414267769,6;2988250024;773538920,8;21824441361;6465401150;8526935303;2365310678;2839456295;12510657,81;1,67568E+13;107463683,4;3,79348E+11;4,95027E+12;74945336014;91538591988;29507694920;;22332443228896,90;;
"Porg""""";70338,56;95472,87;12574,67;4020193,21;116166,06;3910785,93;270911,73;22698878,06;5953867,46;7181924,91;1028586,56;3748419,3;19824,15;981585779,9;58994,07;29881818,64;355465064;34538276,57;98660645,53;286569822,5;;1835888344,55;;
"RedGroup""""";107434,31;147900,6;23639,42;4010180,06;135209,45;6975954,72;413147,48;18333522,52;7624111,45;9336436,5;1454841,39;5663022,23;35130,49;7131341,9;87923,2;8167625,75;44331428,74;57765828,42;64217489,52;498887548,5;;734849716,65;;
"Sha""""";26003,36;34768,76;5294,49;818767,69;30011,51;1380731,48;88079,79;3600278,84;1484563,63;1822760,57;405946,32;1191038,44;7459,27;1493810,32;17290,18;1753209,19;8366686,15;11263916,05;12373719,64;116382226,2;;162546561,88;;
"Shri""""";33000340,53;30341010,43;5891365,37;1289302491;63051751,32;2985963253;190628171;6924339981;3341542425;4272444224;343636777,1;2405435077;12635962,11;6,07198E+11;51072475,65;19613880684;1,88314E+11;46549693956;17954821273;1,30947E+11;;1032526151699,18;;
"Snap""""";147900,6;123162,28;31607,96;4704297,43;158584,93;10589712,67;630747,28;16856116,91;9811419,59;12142795,25;1915095,27;8350848,7;53700,07;366557278,1;119341,08;16590337,93;133653264,2;83839149,06;46148917,72;785819584,4;;1498243861,47;;
