TI3;"Copep""""";"Mollu""""";"Oogli""""";"Mojar""""";"Ofish""""";"Phyto""""";"BenthProd""""";"Worm""""";"MicroCrus""""";"Deca""""";"Ochry""""";"Lrhom""""";"Hjagu""""";"Arhom""""";"CatFish""""";"Hplum""""";"Bchry""""";"Aquad""""";;SUM;;
"Aquad""""";0,02;0,04;0,03;0,02;0,05;0,02;0,05;0,05;0,05;0,05;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;;0,60;thresold:;0,08
"Arhom""""";0,02;0,04;0,02;0,02;0,02;0,02;0,05;0,04;0,04;0,04;0,03;0,02;0,02;0,03;0,02;0,03;0,02;0,03;;0,50;;
"Bchry""""";0,03;0,05;0,03;0,06;0,05;0,03;0,03;0,05;0,05;0,05;0,03;0,07;0,03;0,03;0,03;0,03;0,04;0,03;;0,72;;
"BenthProd""""";0,1;0,07;0,09;0,08;0,05;0,05;0,06;0,08;0,05;0,05;0,1;0,08;0,09;0,11;0,08;0,1;0,04;0,1;;1,40;;
"CatFish""""";0,04;0,06;0,08;0,07;0,06;0,03;0,06;0,06;0,06;0,06;0,04;0,03;0,08;0,04;0,05;0,04;0,04;0,04;;0,93;;
"Copep""""";0,05;0,05;0,07;0,05;0,05;0,11;0,05;0,02;0,02;0,02;0,02;0,03;0,02;0,02;0,03;0,02;0,02;0,02;;0,69;;
"Deca""""";0,05;0,08;0,1;0,09;0,08;0,05;0,06;0,09;0,08;0,06;0,11;0,09;0,1;0,12;0,09;0,11;0,1;0,11;;1,58;;
"Hjagu""""";0,03;0,05;0,04;0,07;0,05;0,03;0,06;0,06;0,05;0,06;0,04;0,03;0,04;0,04;0,07;0,04;0,04;0,04;;0,81;;
"Hplum""""";0,02;0,04;0,03;0,02;0,05;0,02;0,05;0,05;0,05;0,05;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;;0,60;;
"Lrhom""""";0,04;0,05;0,03;0,03;0,05;0,12;0,05;0,06;0,06;0,05;0,04;0,05;0,03;0,04;0,03;0,04;0,08;0,04;;0,88;;
"MicroCrus""""";0,06;0,06;0,1;0,09;0,08;0,13;0,06;0,09;0,07;0,08;0,11;0,1;0,09;0,12;0,09;0,11;0,1;0,11;;1,63;;
"Mojar""""";0,09;0,06;0,05;0,05;0,06;0,04;0,07;0,06;0,06;0,06;0,04;0,04;0,08;0,04;0,08;0,04;0,08;0,04;;1,07;;
"Mollu""""";0,12;0,07;0,11;0,09;0,09;0,15;0,09;0,06;0,07;0,08;0,11;0,1;0,1;0,12;0,09;0,11;0,1;0,11;;1,77;;
"Ochry""""";0,02;0,04;0,03;0,02;0,05;0,02;0,05;0,05;0,05;0,05;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;;0,60;;
"Ofish""""";0,11;0,08;0,1;0,09;0,06;0,06;0,06;0,08;0,08;0,08;0,11;0,09;0,1;0,05;0,09;0,11;0,1;0,11;;1,57;;
"Oogli""""";0,09;0,05;0,04;0,03;0,05;0,04;0,06;0,03;0,05;0,05;0,03;0,03;0,03;0,03;0,06;0,03;0,03;0,03;;0,74;;
"Phyto""""";0,07;0,04;0,02;0,02;0,02;0,04;0,02;0,01;0,04;0,01;0,01;0,06;0,01;0,02;0,01;0,01;0,02;0,01;;0,45;;
"Worm""""";0,04;0,05;0,05;0,08;0,08;0,04;0,08;0,06;0,08;0,08;0,11;0,09;0,09;0,12;0,09;0,11;0,1;0,11;;1,46;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
WI3;"Copep""""";"Mollu""""";"Oogli""""";"Mojar""""";"Ofish""""";"Phyto""""";"BenthProd""""";"Worm""""";"MicroCrus""""";"Deca""""";"Ochry""""";"Lrhom""""";"Hjagu""""";"Arhom""""";"CatFish""""";"Hplum""""";"Bchry""""";"Aquad""""";;SUM;;
"Aquad""""";4237109696;707395735,7;50244210,52;2276982,38;70593093,39;3593008503;247772663,2;153568159,5;567937678,7;41858780,98;42238478,51;21114095,34;17151160,4;18897588,4;1629712,74;10057596,9;1294163,38;3457088,49;;9787605387,92;thresold:;13040317011,60
"Arhom""""";22122234470;3223007963;98499038,62;6743131,36;341797653,5;14674224315;1622036069;266010896;3314182910;248097335,7;149185990,2;87887090,33;72784967,69;57846998,97;11052231,13;55482840,5;5089894,01;15747990,33;;46371911785,10;;13040317011,60
"Bchry""""";3827831415;519177401,8;26063664,98;1520974,84;37786380,67;1316930139;137622583,9;73650242,49;527602715,7;23605867,6;29406937,52;11637830,4;13521860,63;7125851,61;1287319,94;7587430,95;969771,62;1509857,28;;6564838245,88;;
"BenthProd""""";1,9652E+12;2,64437E+11;12850322416;466611543,7;7662847179;4,26755E+11;12245156765;41273330865;2,18345E+11;3627994123;8327063013;4028785987;3069898336;3892886565;103277416,5;1123354277;235924429,5;495545326,4;;2974143711031,25;;
"CatFish""""";2049158766;359444433,6;84400631,68;3807857,17;38332013,33;1099054781;77458062,39;262913142,5;284717177;23782657,32;76067071,33;21090775,61;24649072,4;19894016,04;1264844,62;11014447,24;1655125,64;2444569,11;;4441149443,95;;
"Copep""""";9,71495E+11;1,74862E+12;2,07373E+11;14114246920;4,71236E+11;4,08955E+13;9,82602E+11;3,16816E+11;58618190051;1,04745E+11;1,64119E+11;47074234836;37035506374;26546681364;1366105844;17253237318;3280998355;4237109696;;46072014570772,80;;
"Deca""""";2,44406E+11;38316368504;2224226906;85851132,61;1960915014;1,28144E+11;4232659811;7056353628;29223911577;657903502,9;1245551277;654908340,7;625339808,4;694672540,1;36995244,71;271005035,4;47211735,19;97670488,96;;459981652816,18;;
"Hjagu""""";49380675165;6528028357;487564279,1;28957910,78;535462884,3;13610300798;2046598890;1432318266;7233170466;357337033,4;589264594,9;187375055,1;231505037,7;116455948,3;21910286,58;134535224,3;15453555,01;22868213,87;;82959781966,39;;
"Hplum""""";17253237318;2441203944;272049944,1;12950626,42;164211454,6;4479091561;561677138,7;837268995,5;2421752907;116145015,2;264630313,3;81125234,94;100901418,2;66579408,6;7342964,83;49708195,61;6503512,24;10057596,9;;29146437549,26;;
"Lrhom""""";62765646448;9853793943;463237937,4;25199713,45;804931135,1;48864861784;2685857325;1228221257;8371984614;374233337,5;401775670,3;189081904,4;187375055,1;140619344,5;18747356,1;108166979,9;13300377,6;28152127,11;;136525186309,40;;
"MicroCrus""""";1,36776E+11;4,5055E+11;65642418646;4196451988;1,25505E+11;1,06731E+13;2,54736E+11;1,18302E+11;1656799005;29223911577;53418722100;14650973074;12658048315;9279712148;442893386,4;5650756784;1055205431;1325187917;;11958160958785,60;;
"Mojar""""";23523744867;2780947661;43470483,02;2754570,15;64828491,73;904407524,7;388842953,1;127263821,5;2997465706;61322237,58;66212810,33;31499641,81;36197388,47;13486262,72;4230952,41;21584377,36;2172821,2;3794970,63;;31074227539,97;;
"Mollu""""";4,37155E+12;9,71312E+11;61576870363;4171421491;1,45957E+11;1,19437E+13;3,30546E+11;95836314416;4,82732E+11;41053251968;52395478809;18475863643;12240053170;9669023890;599074055,9;6103009861;1112523004;1768489339;;18550778338508,00;;
"Ochry""""";1,64119E+11;20958191524;673342093;39727686,2;769506102;22840954116;4163531506;2066435488;22893738043;533807690,2;791947346,2;301331752,7;441948446,2;179023188,3;50711380,89;264630313,3;25205946,44;42238478,51;;241155132939,92;;
"Ofish""""";1,09955E+12;1,36227E+11;2561353773;90759888,42;2859933811;1,32777E+11;8939988375;7814544574;1,25505E+11;1960915014;1795514238;1408629486;937060047,6;957033429,8;59627576,29;383160060,7;75572761,35;164717217,9;;1524067289013,70;;
"Oogli""""";2,41936E+11;28735872836;235782918,8;30429338,11;1280676887;29878185594;7496021409;514069094,1;32821209323;1112113453;785565775,1;405333195,2;426618744,2;137898654,1;65644935,75;317391601,5;26063664,98;58618245,6;;346263045396,20;;
"Phyto""""";2,72637E+13;3,18498E+12;17073248911;361763009,9;37936224463;9,57567E+11;1,42252E+11;55913456210;3,04945E+12;36612593862;15227302744;24432430892;6805150399;11739379452;488468791,4;2986061041;752531508,3;2395339002;;34810635736632,90;;
"Worm""""";6,86434E+11;83058139161;954699746,1;165442968;7256362819;1,81719E+11;44712775104;1364597041;1,09852E+11;6552328369;4477276890;1995859543;2327517183;691628329,5;379763428;1814082824;136779021,8;332731012,2;;1134224979971,03;;
