TI3;"ShaRay""""";"ScomJack""""";"SchoolFishOne""""";"ReefCarnBG""""";"SchoolFishTwo""""";"ReefOmnSM""""";"BigGroup""""";"ReefHerbSM""""";"ReefHerbBG""""";"Bird""""";"Cepha""""";"Echino""""";"Crus""""";"WormMollu""""";"Sess""""";"Zoopl""""";"BenthProd""""";"Decomp""""";"Phyto""""";"Turtle""""";;SUM;;
"BenthProd""""";0,03;0,03;0,06;0,05;0,02;0,05;0,03;0,06;0,06;0,03;0,03;0,06;0,05;0,05;0,06;0,03;0,05;0,03;0,03;0,11;;0,93;thresold:;0,07
"BigGroup""""";0,04;0,01;0,02;0,03;0,01;0,01;0,03;0,01;0,05;0,02;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;0,36;;
"Bird""""";0,05;0,06;0,06;0,05;0,06;0,05;0,03;0,06;0,07;0,04;0,03;0,02;0,03;0,02;0,02;0,05;0,03;0,02;0,02;0,01;;0,80;;
"Cepha""""";0,05;0,06;0,06;0,05;0,06;0,05;0,03;0,03;0,03;0,03;0,04;0,02;0,04;0,05;0,02;0,05;0,02;0,03;0,03;0,02;;0,77;;
"Crus""""";0,08;0,08;0,08;0,08;0,08;0,08;0,13;0,08;0,09;0,05;0,09;0,09;0,06;0,08;0,09;0,08;0,09;0,11;0,11;0,12;;1,75;;
"Decomp""""";0,02;0,02;0,02;0,02;0,04;0,02;0,01;0,02;0,01;0,01;0,02;0,05;0,04;0,04;0,05;0,04;0,02;0,03;0,03;0,03;;0,52;;
"Echino""""";0,05;0,03;0,03;0,05;0,04;0,06;0,03;0,07;0,03;0,03;0,03;0,05;0,06;0,07;0,07;0,06;0,07;0,1;0,1;0,11;;1,14;;
"Phyto""""";0,02;0,02;0,02;0,02;0,04;0,02;0,01;0,02;0,01;0,01;0,02;0,05;0,04;0,04;0,05;0,04;0,02;0,03;0,03;0,03;;0,52;;
"ReefCarnBG""""";0,08;0,08;0,08;0,06;0,07;0,08;0,13;0,08;0,09;0,09;0,08;0,07;0,07;0,07;0,07;0,07;0,08;0,05;0,05;0,05;;1,49;;
"ReefHerbBG""""";0,06;0,05;0,06;0,05;0,03;0,03;0,12;0,03;0,05;0,07;0,03;0,02;0,05;0,02;0,05;0,02;0,06;0,02;0,02;0,03;;0,85;;
"ReefHerbSM""""";0,05;0,06;0,03;0,05;0,03;0,06;0,03;0,04;0,03;0,07;0,03;0,06;0,05;0,05;0,03;0,05;0,06;0,03;0,03;0,03;;0,88;;
"ReefOmnSM""""";0,06;0,07;0,04;0,06;0,07;0,05;0,04;0,08;0,04;0,08;0,08;0,07;0,06;0,06;0,06;0,06;0,07;0,04;0,04;0,04;;1,16;;
"SchoolFishOne""""";0,06;0,07;0,04;0,06;0,06;0,04;0,04;0,04;0,07;0,07;0,07;0,03;0,05;0,05;0,03;0,05;0,06;0,03;0,03;0,03;;0,98;;
"SchoolFishTwo""""";0,06;0,07;0,07;0,06;0,05;0,06;0,03;0,04;0,04;0,07;0,08;0,04;0,05;0,04;0,06;0,07;0,03;0,09;0,09;0,03;;1,10;;
"ScomJack""""";0,06;0,05;0,07;0,06;0,07;0,06;0,04;0,07;0,07;0,08;0,08;0,03;0,05;0,05;0,03;0,06;0,03;0,03;0,03;0,02;;1,07;;
"Sess""""";0,06;0,03;0,04;0,06;0,07;0,06;0,04;0,04;0,07;0,03;0,04;0,08;0,06;0,07;0,05;0,06;0,08;0,1;0,1;0,11;;1,24;;
"ShaRay""""";0,05;0,07;0,07;0,07;0,07;0,07;0,13;0,07;0,09;0,08;0,08;0,06;0,06;0,06;0,06;0,04;0,04;0,04;0,04;0,04;;1,31;;
"Turtle""""";0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,05;0,03;0,04;0,04;0,01;0,05;0,02;0,02;0,03;;0,45;;
