TI3;"Phyto""""";"MicroMesoZoopl""""";"MacroZoopl""""";"Jelly""""";"Sard""""";"SpelaFish""""";"SupBenth""""";"DemFishThree""""";"Anch""""";"HorMack""""";"Mack""""";"Crab""""";"Gadi""""";"FlatFish""""";"DemFishOne""""";"Shri""""";"NorLobs""""";"MantShri""""";"VulHake""""";"DemSkate""""";"DemFishTwo""""";"Polych""""";"OctoCepha""""";"Mull""""";"BenthInv""""";"DemSha""""";"Turtle""""";"SquidCepha""""";"CongEel""""";"AngFish""""";"STuniAtlBoni""""";"LpelaFish""""";"NonVulHake""""";"Dolph""""";"TurBrill""""";"Bird""""";;SUM;
"Phyto""""";0,07;0,07;0,05;0,22;0,03;0,05;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0;0;0;0,01;0;0,01;0;0;0;0;0;0;0,01;0;0;0,01;0,01;0,01;0,01;0,01;0,01;;0,68;
"MicroMesoZoopl""""";0,14;0,06;0,07;0,25;0,04;0,06;0,04;0,04;0,05;0,05;0,05;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0;0;0,01;0;0,02;0,02;0,01;0,03;0,02;0,02;0,02;0,02;0,02;;1,18;
"MacroZoopl""""";0,1;0,07;0,04;0,07;0,02;0,06;0,02;0,04;0,01;0,05;0,05;0,03;0,06;0,05;0,03;0,02;0,01;0,01;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;;1,01;
"Jelly""""";0,09;0,05;0,01;0,06;0,01;0,01;0;0;0;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,28;
"Sard""""";0,1;0,07;0,03;0,06;0,05;0,05;0,02;0,03;0,05;0,06;0,06;0,02;0,02;0,02;0,04;0,03;0,05;0,02;0,06;0,02;0,05;0,02;0,03;0,02;0,02;0,06;0,01;0,06;0,03;0,02;0,1;0,1;0,07;0,08;0,07;0,1;;1,72;
"SpelaFish""""";0,11;0,07;0,06;0,06;0,03;0,05;0,02;0,02;0,03;0,05;0,02;0,02;0,02;0,02;0,03;0,02;0,01;0,01;0,05;0,02;0,04;0,01;0,01;0,02;0,01;0,01;0,01;0,02;0,01;0,01;0,09;0,09;0,06;0,02;0,07;0,02;;1,21;
"SupBenth""""";0,02;0,05;0,03;0,02;0,02;0,02;0,04;0,05;0,02;0,05;0,05;0,05;0,08;0,06;0,04;0,05;0,06;0,08;0,06;0,07;0,04;0,03;0,03;0,02;0,03;0,02;0,02;0,02;0,02;0,03;0,02;0,02;0,02;0,02;0,02;0,02;;1,32;
"DemFishThree""""";0,03;0,06;0,06;0,03;0,03;0,03;0,06;0,05;0,04;0,05;0,06;0,03;0,03;0,06;0,05;0,03;0,03;0,02;0,06;0,07;0,05;0,02;0,03;0,01;0,02;0,06;0,01;0,06;0,09;0,07;0,03;0,02;0,07;0,04;0,03;0,1;;1,58;
"Anch""""";0,02;0,05;0,02;0,02;0,04;0,03;0,01;0,03;0,05;0,05;0,03;0,02;0,01;0,01;0,02;0,02;0,01;0,01;0,05;0,02;0,02;0,01;0,02;0,02;0,01;0,05;0,01;0,06;0,1;0,01;0,09;0,1;0,06;0,08;0,07;0,09;;1,33;
"HorMack""""";0,04;0,06;0,06;0,04;0,05;0,06;0,05;0,04;0,05;0,04;0,03;0,04;0,03;0,02;0,02;0,04;0,02;0,02;0,03;0,02;0,04;0,05;0,02;0,02;0,01;0,02;0;0,05;0,03;0,02;0,03;0,03;0,03;0,08;0,02;0,03;;1,23;
"Mack""""";0,03;0,06;0,05;0,03;0,04;0,02;0,04;0,04;0,03;0,03;0,04;0,03;0,02;0,02;0,02;0,04;0,02;0,02;0,02;0,02;0,04;0,01;0,01;0,01;0,01;0,02;0;0,05;0,03;0,02;0,09;0,02;0,02;0,07;0,01;0,02;;1,06;
"Crab""""";0,02;0,03;0,07;0,01;0,03;0,03;0,07;0,04;0,03;0,06;0,06;0,05;0,09;0,07;0,06;0,06;0,07;0,1;0,07;0,09;0,06;0,09;0,08;0,13;0,08;0,07;0,06;0,06;0,1;0,05;0,03;0,03;0,07;0,04;0,04;0,03;;2,1;
"Gadi""""";0,01;0,01;0,05;0,01;0,01;0,01;0,04;0,01;0;0,01;0,01;0,03;0,03;0,02;0,01;0,03;0,02;0,02;0,01;0,01;0,03;0,05;0,02;0,02;0,01;0,01;0;0,01;0,01;0,06;0,01;0,01;0,01;0,01;0,01;0,01;;0,63;
"FlatFish""""";0,01;0,02;0,05;0,01;0,02;0,02;0,05;0,04;0,01;0,02;0,02;0,04;0,03;0,04;0,04;0,04;0,06;0,03;0,02;0,03;0,04;0,06;0,02;0,03;0,02;0,02;0,01;0,02;0,02;0,07;0,01;0,01;0,02;0,01;0,06;0,02;;1,01;
"DemFishOne""""";0,03;0,03;0,07;0,01;0,06;0,06;0,07;0,07;0,04;0,04;0,04;0,06;0,05;0,08;0,05;0,06;0,08;0,1;0,07;0,09;0,06;0,08;0,08;0,05;0,08;0,08;0,05;0,07;0,04;0,09;0,03;0,04;0,08;0,08;0,09;0,1;;2,26;
"Shri""""";0,01;0,02;0,03;0;0,03;0,03;0,07;0,04;0,04;0,06;0,06;0,06;0,09;0,07;0,05;0,05;0,07;0,1;0,07;0,08;0,05;0,08;0,04;0,04;0,07;0,07;0,05;0,07;0,1;0,08;0,1;0,1;0,03;0,04;0,03;0,03;;2,01;
"NorLobs""""";0,01;0,01;0,01;0;0,03;0,01;0,04;0,02;0,01;0,01;0,01;0,04;0,02;0,05;0,04;0,04;0,04;0,03;0,02;0,02;0,02;0,02;0,06;0,02;0,06;0,06;0,04;0,02;0,01;0,07;0,01;0,01;0,02;0,01;0,02;0,01;;0,92;
"MantShri""""";0;0;0,01;0;0,01;0,01;0,04;0,01;0;0,01;0,01;0,03;0,02;0,01;0,03;0,03;0,02;0,03;0,01;0,01;0,01;0,05;0,01;0,02;0,05;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;0,55;
"VulHake""""";0,02;0,02;0,02;0,01;0,04;0,05;0,04;0,04;0,04;0,02;0,02;0,03;0,02;0,02;0,03;0,03;0,02;0,02;0,03;0,02;0,04;0,02;0,02;0,02;0,05;0,02;0,04;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,02;0,03;;0,91;
"DemSkate""""";0;0,01;0,01;0;0,01;0,01;0,04;0,03;0,01;0,01;0,01;0,03;0,01;0,02;0,03;0,03;0,02;0,02;0,01;0,03;0,01;0,02;0,04;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,06;0,01;;0,62;
"DemFishTwo""""";0,02;0,03;0,04;0,01;0,05;0,06;0,06;0,06;0,03;0,06;0,06;0,05;0,08;0,06;0,05;0,05;0,04;0,04;0,07;0,03;0,05;0,07;0,06;0,04;0,06;0,07;0,04;0,03;0,03;0,04;0,03;0,03;0,08;0,03;0,03;0,1;;1,71;
"Polych""""";0;0,01;0,02;0;0,01;0,01;0,02;0,01;0,01;0,04;0,01;0,04;0,07;0,05;0,03;0,04;0,02;0,08;0,02;0,02;0,04;0,04;0,05;0,11;0,03;0,02;0,02;0,02;0,01;0,02;0,01;0,01;0,02;0,01;0,02;0,01;;0,98;
"OctoCepha""""";0;0,01;0,01;0;0,02;0,01;0,02;0,02;0,01;0,02;0,01;0,04;0,02;0,02;0,04;0,02;0,06;0,03;0,02;0,07;0,04;0,05;0,04;0,03;0,06;0,06;0,04;0,05;0,01;0,07;0,01;0,01;0,06;0,01;0,02;0,02;;1,05;
"Mull""""";0;0;0;0;0;0,01;0,01;0;0,01;0,01;0;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,04;0,01;0,03;0,04;0,01;0,03;0;0,01;0;0;0;0,01;0;0,06;0;;0,42;
"BenthInv""""";0;0,01;0,01;0;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,04;0,02;0,02;0,04;0,04;0,06;0,09;0,05;0,02;0,04;0,03;0,06;0,12;0,07;0,06;0,39;0,01;0,01;0,02;0,01;0,01;0,02;0,01;0,02;0,01;;1,4;
"DemSha""""";0,01;0,01;0,01;0,01;0,04;0,01;0,02;0,04;0,04;0,02;0,02;0,03;0,02;0,02;0,03;0,03;0,06;0,02;0,02;0,02;0,04;0,02;0,05;0,02;0,06;0,03;0,04;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,03;;0,91;
