TI3;"Phyto""""";"MicroZoopl""""";"MesoZoopl""""";"MacroZoopl""""";"Jelly""""";"SupBenth""""";"OSPelaFish""""";"Shri""""";"BenthPelaCepha""""";"Mull""""";"FlatFish""""";"Gadi""""";"DemFishOne""""";"DemFishTwo""""";"DemFishFour""""";"BepeFish""""";"PicaBog""""";"Janch""""";"Aanch""""";"Jsard""""";"Asard""""";"HorMack""""";"Mack""""";"Crab""""";"NorLobs""""";"BenthCepha""""";"Hake""""";"DemFishThree""""";"Sha""""";"RaySkate""""";"MPelaFish""""";"LogTurtle""""";"Polych""""";"BenthInv""""";"AngFish""""";"LPelaFish""""";"Dolph""""";"Bird""""";;SUM
"Phyto""""";0,04;0,11;0,03;0,02;0,05;0,02;0,03;0;0,01;0,01;0;0,01;0,01;0;0;0;0,01;0;0;0;0,01;0,01;0,01;0;0;0;0;0;0;0;0,01;0,02;0;0;0;0;0;0,01;;0,46
"MicroZoopl""""";0,07;0,04;0,02;0,02;0,05;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0,01;0,01;0;0;0;0;0;0;;0,31
"MesoZoopl""""";0,1;0,13;0,03;0,04;0,07;0,03;0,05;0,03;0,03;0,04;0,03;0,03;0,04;0,03;0,04;0,03;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,02;0,01;0,02;0,02;0,02;0,02;0,02;0,03;0,02;0,02;0,02;0,02;0,03;0,02;0,03;;1,38
"MacroZoopl""""";0,1;0,13;0,05;0,04;0,07;0,03;0,05;0,04;0,04;0,05;0,04;0,04;0,05;0,03;0,04;0,04;0,05;0,02;0,02;0,02;0,04;0,04;0,04;0,04;0,06;0,04;0,04;0,04;0,04;0,04;0,05;0,03;0,03;0,03;0,02;0,02;0,02;0,02;;1,58
"Jelly""""";0,09;0,12;0,03;0,03;0,04;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,03;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,03;0,13;0,01;0,01;0,01;0,01;0,01;0,01;;0,79
"SupBenth""""";0,08;0,03;0,04;0,03;0,03;0,03;0,05;0,04;0,04;0,05;0,04;0,04;0,05;0,04;0,05;0,04;0,05;0,02;0,02;0,02;0,04;0,04;0,04;0,04;0,06;0,04;0,04;0,04;0,02;0,04;0,04;0,02;0,04;0,04;0,04;0,02;0,02;0,02;;1,45
"OSPelaFish""""";0,08;0,03;0,03;0,03;0,02;0,03;0,03;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,02;0,03;0,03;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,04;0,01;0,01;0,02;0,01;0,05;0,04;0,1;;0,89
"Shri""""";0,02;0,02;0,04;0,04;0,02;0,04;0,02;0,03;0,04;0,05;0,04;0,04;0,05;0,04;0,05;0,04;0,05;0,03;0,02;0,02;0,02;0,04;0,04;0,04;0,06;0,04;0,04;0,04;0,04;0,04;0,04;0,02;0,05;0,04;0,04;0,05;0,02;0,01;;1,39
"BenthPelaCepha""""";0,02;0,02;0,04;0,04;0,02;0,04;0,05;0,04;0,03;0,05;0,03;0,04;0,02;0,04;0,02;0,04;0,05;0,05;0,05;0,05;0,05;0,04;0,04;0,04;0,02;0,04;0,04;0,02;0,04;0,04;0,05;0,02;0,04;0,04;0,03;0,06;0,05;0,04;;1,43
"Mull""""";0,01;0,01;0,03;0,03;0,01;0,03;0,01;0,03;0,03;0,02;0,02;0,03;0,02;0,03;0,02;0,02;0,02;0,01;0,02;0,01;0,02;0,01;0,01;0,03;0,02;0,02;0,03;0,01;0,03;0,03;0,03;0,02;0,03;0,03;0,03;0,01;0,01;0,01;;0,77
