Species                     Kbu       Ktd      Kdir    Kindir         K
Phyto                  23.67018   0.00000   2.53333  21.13685  23.67018
MicroZoopl             10.37764   0.16667   1.25000   9.29430  10.54430
MesoZoopl              14.45068   0.55556   6.16792   8.83831  15.00623
MacroZoopl              5.62499   0.63333   3.38606   2.87227   6.25833
Jelly                   0.77587   0.70435   1.24912   0.23110   1.48022
SupBenth                5.16142   0.34492   2.88366   2.62268   5.50634
OSPelaFish              0.87277   0.42205   1.11287   0.18194   1.29481
Shri                    3.40457   0.31040   2.23141   1.48356   3.71497
BenthPelaCepha          0.44169   2.72058   1.92982   1.23245   3.16227
Mull                    0.48575   0.45374   0.74251   0.19698   0.93949
FlatFish                0.36909   1.97663   1.49942   0.84630   2.34573
Gadi                    0.77039   2.39836   2.21231   0.95643   3.16875
DemFishOne              0.48935   0.79262   0.88030   0.40167   1.28197
DemFishTwo              0.30047   3.81883   2.22693   1.89237   4.11930
DemFishFour             0.97791   0.45374   1.00091   0.43075   1.43166
BepeFish                0.88623   0.45374   0.98594   0.35403   1.33997
PicaBog                 0.82123   0.32735   0.82422   0.32436   1.14857
Janch                   1.13430   0.07778   0.91380   0.29827   1.21208
Aanch                   0.98798   0.07778   0.92454   0.14122   1.06576
Jsard                   1.38430   0.07778   1.16380   0.29827   1.46208
Asard                   0.98798   0.20993   1.01347   0.18443   1.19791
HorMack                 0.60864   2.31170   1.73183   1.18851   2.92034
Mack                    0.43885   1.86312   1.44594   0.85603   2.30197
Crab                    2.37705   0.29503   1.88128   0.79080   2.67207
NorLobs                 0.24904   0.37597   0.47138   0.15362   0.62500
BenthCepha              0.75288   1.60501   1.69311   0.66478   2.35789
Hake                    0.15245   5.64955   2.76006   3.04194   5.80200
DemFishThree            0.87807   0.93507   1.35018   0.46296   1.81314
Sha                     0.04167   7.06980   1.97203   5.13944   7.11147
RaySkate                0.10294   7.48836   2.77472   4.81658   7.59130
MPelaFish               0.00000   3.14480   1.52274   1.62206   3.14480
LogTurtle               0.00000   0.41045   0.27462   0.13583   0.41045
AngFish                 0.00000  19.20169   4.04345  15.15824  19.20169
Polych                  5.43775   0.04545   2.17900   3.30421   5.48320
LPelaFish               0.00000   2.83214   1.06032   1.77183   2.83214
BenthInv               12.32982   0.00000   3.54380   8.78602  12.32982
Dolph                   0.00000   5.99042   1.81876   4.17166   5.99042
Bird                    0.00000   0.42050   0.34444   0.07605   0.42050
