TI3;"Cepha""""";"Pisc""""";"Mcarni""""";"InvFeedOne""""";"InvFeedThree""""";"SuspFeed""""";"Deca""""";"Gastro""""";"Bird""""";"InvFeedTwo""""";"Dpunt""""";"HerbFish""""";"PlFish""""";"Mugil""""";"Blen""""";"Polych""""";"Crus""""";"Amph""""";"MacroAlga""""";"Echino""""";"InvFeedFour""""";"Zoopl""""";"Macropl""""";"Phyto""""";"PelBaci""""";"Proto""""";;SUM;;
"Amph""""";0,03;0,04;0,06;0,06;0,06;0,03;0,05;0,06;0,04;0,06;0,07;0,07;0,07;0,03;0,06;0,05;0,04;0,04;0,06;0,03;0,1;0,05;0,04;0,02;0,02;0,02;;1,26;thresold:;0,05
"Bird""""";0,02;0,03;0,05;0,04;0,04;0,02;0,02;0,02;0,04;0,05;0,06;0,05;0,06;0,08;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0,02;0,01;0,01;;0,77;;
"Blen""""";0,03;0,05;0,05;0,05;0,03;0,04;0,04;0,05;0,02;0,03;0,03;0,03;0,03;0,02;0,03;0,04;0,04;0,05;0,05;0,03;0,03;0,05;0,03;0,02;0,02;0,02;;0,92;;
"Cepha""""";0,03;0,05;0,05;0,04;0,05;0,03;0,03;0,04;0,02;0,02;0,01;0,02;0,02;0,01;0,02;0,02;0,01;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;;0,58;;
"Crus""""";0,04;0,04;0,07;0,06;0,06;0,06;0,06;0,06;0,05;0,07;0,08;0,08;0,08;0,12;0,07;0,06;0,05;0,05;0,07;0,07;0,11;0,08;0,05;0,11;0,05;0,1;;1,81;;
"Deca""""";0,09;0,08;0,07;0,07;0,07;0,07;0,06;0,07;0,04;0,08;0,04;0,08;0,05;0,04;0,08;0,07;0,06;0,07;0,07;0,08;0,11;0,07;0,11;0,05;0,12;0,1;;1,88;;
"Dpunt""""";0,02;0,05;0,02;0,02;0,02;0,03;0,02;0,02;0,06;0,03;0,03;0,02;0,02;0,02;0,02;0,04;0,03;0,04;0,04;0,05;0,02;0,02;0,02;0,02;0,02;0,01;;0,69;;
"Echino""""";0,03;0,03;0,02;0,05;0,05;0,05;0,05;0,05;0,03;0,06;0,07;0,03;0,02;0,02;0,03;0,05;0,04;0,03;0,05;0,04;0,03;0,05;0,03;0,03;0,1;0,04;;1,06;;
"Gastro""""";0,09;0,04;0,07;0,06;0,06;0,05;0,05;0,04;0,04;0,07;0,04;0,07;0,07;0,02;0,07;0,05;0,05;0,06;0,06;0,06;0,03;0,03;0,03;0,02;0,03;0,02;;1,30;;
"HerbFish""""";0,02;0,05;0,02;0,02;0,02;0,04;0,04;0,04;0,06;0,03;0,03;0,03;0,02;0,02;0,02;0,04;0,04;0,04;0,04;0,02;0,02;0,02;0,02;0,02;0,02;0,02;;0,76;;
"InvFeedFour""""";0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,03;0,04;0,03;0,01;0,02;0,04;0,02;0,01;0,01;0,01;;0,42;;
"InvFeedOne""""";0,09;0,07;0,07;0,04;0,07;0,05;0,05;0,06;0,07;0,04;0,04;0,04;0,03;0,03;0,06;0,05;0,05;0,06;0,05;0,06;0,03;0,03;0,03;0,02;0,03;0,02;;1,21;;
"InvFeedThree""""";0,09;0,06;0,06;0,06;0,04;0,05;0,05;0,06;0,07;0,04;0,04;0,03;0,03;0,03;0,03;0,05;0,04;0,05;0,05;0,06;0,03;0,02;0,02;0,02;0,03;0,02;;1,12;;
"InvFeedTwo""""";0,02;0,05;0,02;0,03;0,03;0,04;0,04;0,05;0,06;0,03;0,03;0,03;0,02;0,02;0,02;0,04;0,04;0,05;0,04;0,05;0,02;0,02;0,02;0,02;0,03;0,02;;0,85;;
"MacroAlga""""";0,03;0,04;0,06;0,06;0,06;0,04;0,05;0,06;0,04;0,07;0,08;0,07;0,04;0,1;0,07;0,06;0,06;0,07;0,05;0,06;0,1;0,04;0,09;0,03;0,03;0,03;;1,49;;
"Macropl""""";0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,05;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,02;0,04;0,03;0,01;0,01;0,02;;0,45;;
"Mcarni""""";0,08;0,06;0,04;0,06;0,06;0,02;0,04;0,05;0,07;0,03;0,03;0,03;0,07;0,02;0,06;0,03;0,04;0,05;0,05;0,02;0,03;0,02;0,03;0,01;0,01;0,01;;1,06;;
"Mugil""""";0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,05;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,03;0,01;0,03;0,01;0,02;0,04;0,01;0,07;0,01;0,02;;0,49;;
"PelBaci""""";0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0;0,01;0,01;0,01;0;0,01;0,01;0,03;0,01;0,01;0,01;0,04;0,01;0,02;0,01;0,02;0,03;0,07;;0,45;;
"Phyto""""";0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,09;0,01;0,03;0,04;0,01;0,01;0,01;0,02;0,05;0,02;0,04;0,03;0,08;;0,60;;
"Pisc""""";0,08;0,04;0,06;0,05;0,05;0,03;0,04;0,03;0,04;0,06;0,06;0,06;0,06;0,01;0,05;0,04;0,02;0,03;0,03;0,02;0,02;0,02;0,02;0,01;0,02;0,01;;0,98;;
"PlFish""""";0,02;0,05;0,05;0,02;0,02;0,02;0,02;0,04;0,06;0,02;0,02;0,02;0,04;0,02;0,02;0,02;0,03;0,04;0,02;0,01;0,02;0,04;0,09;0,02;0,01;0,01;;0,75;;
"Polych""""";0,04;0,07;0,04;0,06;0,06;0,06;0,06;0,06;0,04;0,07;0,08;0,08;0,03;0,04;0,07;0,05;0,06;0,06;0,06;0,07;0,04;0,06;0,04;0,09;0,11;0,05;;1,54;;
"Proto""""";0,01;0,01;0,01;0,01;0,01;0,04;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,02;0,03;0,01;0,01;0,02;0,02;0,05;0,02;0,08;0,09;0,04;;0,59;;
"SuspFeed""""";0,08;0,04;0,03;0,06;0,06;0,05;0,06;0,06;0,03;0,07;0,07;0,07;0,04;0,04;0,06;0,06;0,06;0,04;0,04;0,07;0,03;0,07;0,1;0,1;0,12;0,11;;1,64;;
"Zoopl""""";0,02;0,02;0,02;0,02;0,02;0,05;0,05;0,03;0,03;0,03;0,03;0,03;0,07;0,11;0,06;0,05;0,05;0,05;0,03;0,05;0,1;0,05;0,1;0,11;0,04;0,1;;1,32;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"Cepha""""";"Pisc""""";"Mcarni""""";"InvFeedOne""""";"InvFeedThree""""";"SuspFeed""""";"Deca""""";"Gastro""""";"Bird""""";"InvFeedTwo""""";"Dpunt""""";"HerbFish""""";"PlFish""""";"Mugil""""";"Blen""""";"Polych""""";"Crus""""";"Amph""""";"MacroAlga""""";"Echino""""";"InvFeedFour""""";"Zoopl""""";"Macropl""""";"Phyto""""";"PelBaci""""";"Proto""""";;SUM;;
"Amph""""";97666617413;3063353403;7649219814;2,70861E+11;2,05395E+11;1,2955E+12;1,2365E+12;8,18883E+11;266678230;30017947305;7546345444;86439481376;29211022938;1227665435;42870633892;1,82729E+12;6,64532E+11;6,37644E+11;7,49387E+12;3,69268E+11;2993333825;9,99756E+11;34895439835;1,65325E+12;8,8879E+11;1,04417E+12;;19749554954542,10;thresold:;231961737887,10
"Bird""""";14922773,19;377582,64;1427633,01;27097882,27;12280934,72;87985970,85;46638023,46;186506795;15473,69;3238439,09;1777521,04;25314795,44;6364089,84;103605,91;2741087,86;132162158,8;164104844,6;152387560;256031289,8;78018492,17;68203,16;47231464,96;11506707,22;277665643,7;114929661,3;89096951,57;;1739995585,35;;231961737887,10
"Blen""""";1604100571;69310634,52;216126465,5;4368234192;2623027132;18593176491;14763182145;41827930778;3768995,81;543475427,7;293516665,1;7104065840;393842350,3;34869496,82;781316957,4;38264591464;41178570639;33684069486;80513224064;20577095050;31308439,69;20333978238;932197824,3;25544442887;15130901200;20615900735;;390026224167,58;;
"Cepha""""";4533413558;199417197,2;373092695,7;12043874573;7559922500;99828021382;19752498065;57798375577;13057426,54;801298380,7;440700703,9;6789897260;1310684800;213093684,9;1020791273;92676514112;56585331488;48833308707;1,49286E+11;25548878368;22630554,41;1,65029E+11;2297099212;1,20378E+11;1,01073E+11;1,53284E+11;;1127692712209,46;;
"Crus""""";1,53589E+11;4132439950;12681207880;4,69335E+11;3,5151E+11;2,21217E+12;2,05461E+12;1,10441E+12;389749005,9;48200874982;9919225962;84757666075;68265081119;1694027812;71126622012;2,83946E+12;8,33559E+11;9,01865E+11;1,28883E+13;4,74759E+11;5110303146;1,46747E+12;80241605428;3,45067E+12;1,71915E+12;1,70993E+12;;33017282018035,70;;
