TI3;"MarMamm""""";"SerLal""""";"Bran""""";"TriLepTwo""""";"Tham""""";"PriMac""""";"Spar""""";"Ljelly""""";"Cepha""""";"Argentin""""";"Shri""""";"SDemFish""""";"Strom""""";"SetTat""""";"ShaRay""""";"Saur""""";"LophLit""""";"PenArg""""";"Crab""""";"EngJap""""";"SPelaFish""""";"Zoopl""""";"Sphyr""""";"ScomberJap""""";"DecaMar""""";"Sard""""";"TriLepOne""""";"ChampCap""""";"MacroBenth""""";"MicroBenth""""";"ScoNiph""""";"NibAlb""""";"LarPoly""""";"TraJap""""";"AciSin""""";"LarCroOne""""";"Bird""""";"HarNeh""""";"Phyto""""";"Pleuron""""";"HetBaci""""";"Coilia""""";;SUM;;;
"AciSin""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0;0,01;0,01;0,01;0,03;0,03;0,01;0,02;0;0,01;0,04;0,02;0,01;0,01;0,02;0,01;0,04;0,01;0,01;0,04;0,03;0,01;0,06;0,01;0,01;0,01;0,01;0,02;;0,69;0,016428571;;0,03
"Argentin""""";0,04;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;;0,67;0,015952381;;
"Bird""""";0,01;0,01;0;0,01;0;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,05;0,04;0;0,01;0,01;0,01;0,01;0,03;0,06;0,01;0;0,03;0,01;0,01;0,01;0,01;0,01;0;0,01;0;0,01;0,04;0,05;0,01;0,04;0,01;0,01;0;0,01;0,01;;0,60;0,014285714;;
"Bran""""";0,04;0,01;0,03;0,02;0,05;0,01;0,05;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,02;0,01;0,04;0,02;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;;0,76;0,018095238;;
"Cepha""""";0,05;0,06;0,02;0,04;0,03;0,05;0,03;0,02;0,04;0,06;0,04;0,04;0,02;0,03;0,1;0,06;0,02;0,05;0,04;0,02;0,02;0,03;0,2;0,05;0,05;0,03;0,03;0,03;0,04;0,04;0,04;0,03;0,05;0,02;0,02;0,03;0,01;0,02;0,04;0,02;0,02;0,02;;1,68;0,04;;
"ChampCap""""";0,01;0,01;0,01;0,03;0,01;0,04;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,04;0,01;0,05;0,01;0,02;0,03;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,06;0,03;0,03;0,03;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,06;0,01;0,02;0,01;0,01;;0,83;0,019761905;;
"Coilia""""";0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0,01;;0,14;0,003333333;;
"Crab""""";0,03;0,02;0,06;0,04;0,06;0,05;0,06;0,02;0,04;0,06;0,04;0,03;0,02;0,02;0,03;0,02;0,05;0,05;0,04;0,03;0,03;0,02;0,02;0,04;0,05;0,02;0,02;0,05;0,05;0,05;0,02;0,03;0,05;0,05;0,06;0,02;0,02;0,02;0,02;0,09;0,09;0,02;;1,62;0,038571429;;
"DecaMar""""";0,01;0,04;0,01;0,03;0,01;0,02;0,01;0,02;0,03;0,01;0,03;0,01;0,01;0,02;0,02;0,02;0,01;0,01;0,03;0,03;0,01;0,03;0,01;0,02;0,03;0,08;0,05;0,01;0,01;0,01;0,04;0,01;0,02;0,02;0,06;0,02;0,02;0,02;0,03;0,01;0,01;0,02;;0,93;0,022142857;;
"EngJap""""";0,02;0,02;0,02;0,03;0,02;0,04;0,05;0,05;0,02;0,02;0,02;0,02;0,03;0,03;0,02;0,05;0,05;0,05;0,02;0,04;0,04;0,04;0,01;0,05;0,05;0,03;0,03;0,02;0,02;0,02;0,05;0,01;0,05;0,05;0,07;0,02;0,08;0,06;0,04;0,02;0,07;0,02;;1,46;0,034761905;;
