TI3;"MarMamm""""";"SerLal""""";"Bran""""";"TriLepTwo""""";"Tham""""";"PriMac""""";"Spar""""";"Ljelly""""";"Cepha""""";"Argentin""""";"Shri""""";"SDemFish""""";"Strom""""";"SetTat""""";"ShaRay""""";"Saur""""";"LophLit""""";"PenArg""""";"Crab""""";"EngJap""""";"SPelaFish""""";"Zoopl""""";"Sphyr""""";"ScomberJap""""";"DecaMar""""";"Sard""""";"TriLepOne""""";"ChampCap""""";"MacroBenth""""";"MicroBenth""""";"ScoNiph""""";"NibAlb""""";"LarPoly""""";"TraJap""""";"AciSin""""";"LarCroOne""""";"Bird""""";"HarNeh""""";"Phyto""""";"Pleuron""""";"HetBaci""""";"Coilia""""";;SUM;
"MarMamm""""";0,03;0,04;0,05;0,03;0,05;0,04;0,05;0,05;0,03;0,05;0,03;0,03;0,06;0,05;0,03;0,02;0,02;0,02;0,02;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,02;0,02;0,02;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,02;;1,05;
"SerLal""""";0,04;0,04;0,02;0,03;0,06;0,02;0,02;0,05;0,04;0,01;0,01;0,03;0,02;0,01;0,1;0,06;0,04;0,01;0,01;0,02;0,02;0,02;0,02;0,04;0,05;0,08;0,06;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;;1,09;
"Bran""""";0,04;0,01;0,03;0,02;0,05;0,01;0,05;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,02;0,01;0,04;0,02;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;;0,76;
"TriLepTwo""""";0,06;0,07;0,07;0,04;0,04;0,06;0,06;0,06;0,05;0,03;0,05;0,05;0,08;0,07;0,04;0,07;0,06;0,06;0,05;0,05;0,03;0,05;0,03;0,05;0,06;0,09;0,07;0,06;0,05;0,03;0,06;0,1;0,06;0,06;0,03;0,03;0,03;0,03;0,04;0,03;0,02;0,03;;2,17;
"Tham""""";0,04;0,04;0,05;0,01;0,03;0,01;0,02;0,01;0,02;0,01;0,01;0,03;0,01;0,01;0,09;0,02;0,04;0,01;0,03;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,02;0,01;0,01;;0,8;
"PriMac""""";0,04;0,02;0,02;0,03;0,02;0,03;0,02;0,01;0,03;0,02;0,02;0,03;0,01;0,02;0,01;0,02;0,01;0,02;0,03;0,03;0,01;0,03;0,02;0,02;0,02;0,01;0,06;0,05;0,03;0,04;0,02;0,02;0,04;0,01;0,01;0,01;0,01;0,03;0,03;0,02;0,02;0,01;;0,95;
"Spar""""";0,04;0,02;0,05;0,02;0,02;0,01;0,03;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,08;0,02;0,01;0,01;0,03;0,03;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,02;0,01;;0,77;
"Ljelly""""";0,04;0,04;0,01;0,03;0,01;0,01;0,01;0,03;0,01;0,05;0,01;0,01;0,06;0,02;0,01;0,01;0,02;0,01;0,01;0,03;0,07;0,03;0,01;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,04;0,02;0,02;0,03;0,01;0,03;0,01;0,01;0,01;;0,88;
"Cepha""""";0,05;0,06;0,02;0,04;0,03;0,05;0,03;0,02;0,04;0,06;0,04;0,04;0,02;0,03;0,1;0,06;0,02;0,05;0,04;0,02;0,02;0,03;0,2;0,05;0,05;0,03;0,03;0,03;0,04;0,04;0,04;0,03;0,05;0,02;0,02;0,03;0,01;0,02;0,04;0,02;0,02;0,02;;1,68;
"Argentin""""";0,04;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;;0,67;
