Species                  Kbu       Ktd      Kdir    Kindir         K
Acod                 0.04348   1.69200   1.08059   0.65489   1.73548
GreySeal             0.00000  10.07727   4.31281   5.76446  10.07727
Jcod                 1.28414   1.69749   2.17356   0.80806   2.98162
Cet                  0.00000   6.92209   2.42682   4.49526   6.92209
Bird                 0.00000   1.87827   1.07984   0.79843   1.87827
ASilvHake            0.12681   2.28171   1.34054   1.06798   2.40852
AHal                 0.00000   3.62963   1.65770   1.97193   3.62963
DogFish              0.08333   1.57995   0.93798   0.72530   1.66328
DemPisc              0.07692   2.58057   1.26054   1.39696   2.65750
JDemPisc             0.28066   3.74546   2.24538   1.78073   4.02611
LDemFish             0.35772   1.70046   1.23937   0.81880   2.05818
JLDemFish            0.80568   0.92757   1.27612   0.45713   1.73325
SDemFish             0.53945   2.37407   2.00415   0.90937   2.91352
Squid                0.87730   1.42098   1.59625   0.70204   2.29829
TranPel              0.00000   7.44689   2.97311   4.47378   7.44689
JSilvHake            1.15779   1.20917   1.76612   0.60084   2.36696
Plai                 0.75527   0.88521   1.27158   0.36890   1.64048
Hadd                 1.11918   0.80596   1.44889   0.47625   1.92514
Poll                 0.89642   0.89588   1.20484   0.58747   1.79231
JHal                 0.00000   2.04586   1.12672   0.91914   2.04586
Flou                 0.69319   0.80457   1.28104   0.21672   1.49776
Skate                0.12040   0.43778   0.47613   0.08205   0.55818
RedFish              2.06949   0.44841   1.56928   0.94862   2.51790
Sandl                2.66653   0.41580   2.10924   0.97309   3.08233
TranMack             0.20373   0.25585   0.40519   0.05439   0.45958
Cape                 1.11840   0.31317   0.96399   0.46758   1.43157
SPela                2.00907   0.22901   1.66162   0.57645   2.23807
SMesoPel             1.34123   0.12404   0.79584   0.66942   1.46526
LCrab                0.27880   0.48442   0.56394   0.19927   0.76321
SCrab                2.41910   0.34574   1.85535   0.90949   2.76484
Shri                 5.10532   0.42832   3.13853   2.39510   5.53363
Echino               2.63728   0.00000   1.27021   1.36706   2.63728
Polych               4.58792   0.00000   1.92609   2.66183   4.58792
BivalvMollu          1.99513   0.20000   1.27560   0.91954   2.19513
OBI                  6.09473   0.00000   2.50150   3.59323   6.09473
LZP                  8.20807   0.27500   3.83907   4.64400   8.48307
SZP                 10.77431   0.20000   3.18890   7.78541  10.97431
Phyto               20.68007   0.00000   2.75556  17.92452  20.68007
