Species                   Kbu       Ktd      Kdir    Kindir         K
MarMamm               0.06250   1.49656   0.90863   0.65043   1.55906
PelaSha               0.00000  29.00000   7.69206  21.30794  29.00000
Bird                  0.06250   2.77439   1.40267   1.43422   2.83689
Turtle                0.06250   1.05077   0.72517   0.38810   1.11327
BillFish              0.06250   1.42585   0.84980   0.63855   1.48835
Tuna                  0.54063   0.61042   0.95029   0.20076   1.15105
PelaPred              0.74677   1.54201   1.35411   0.93468   2.28878
GroupSnap             0.29861   3.69456   1.98164   2.01153   3.99317
BenthPred             0.16875   4.34699   1.69226   2.82348   4.51574
DemSha                0.06250   8.23728   2.31726   5.98252   8.29978
Ray                   0.16875   2.24437   1.20133   1.21180   2.41312
BenthFish             0.98397   3.11792   2.41882   1.68307   4.10189
Spar                  1.07919   1.89813   1.85243   1.12489   2.97732
FlatFish              0.78723   1.69259   1.65884   0.82098   2.47981
BenthFeed             0.87000   1.39261   1.50048   0.76213   2.26261
Spela                 2.30380   0.47345   1.83082   0.94642   2.77724
Squid                 1.53400   0.51850   1.55936   0.49314   2.05249
PhytoEater            2.03535   0.27262   1.42570   0.88227   2.30797
Mull                  0.48862   0.61958   0.91096   0.19724   1.10820
Cepha                 0.93730   0.98487   1.26032   0.66185   1.92218
GastroBivalv          2.78624   0.61958   1.80749   1.59833   3.40581
Shri                  1.74246   0.78154   1.49869   1.02531   2.52400
Crab                  2.55474   0.90320   2.03481   1.42313   3.45794
Echino                2.00050   0.58584   1.55773   1.02861   2.58633
Scrus                 4.26321   0.42973   2.09469   2.59825   4.69294
Anne                  4.98118   0.21154   2.04674   3.14598   5.19272
MeioBenth             6.48600   0.07692   1.71422   4.84870   6.56292
Zoopl                 6.21045   0.20192   2.94588   3.46649   6.41237
Phyto                 8.66318   0.00000   2.05952   6.60366   8.66318
BenthAlga            19.33682   0.00000   3.74726  15.58956  19.33682
