Species                 Kbu       Ktd      Kdir    Kindir         K
EngraEnc            0.25000   0.50000   0.50000   0.25000   0.75000
DicLab              0.00000   4.50000   3.00000   1.50000   4.50000
Ather               0.25000   0.50000   0.50000   0.25000   0.75000
ChroChro            0.25000   0.66667   0.66667   0.25000   0.91667
SciUmb              0.00000   3.41667   2.00000   1.41667   3.41667
Mugi                0.50000   0.50000   1.00000   0.00000   1.00000
Bivalv              0.91667   1.50000   2.00000   0.41667   2.41667
Dip                 0.00000   2.00000   1.50000   0.50000   2.00000
SparAur             0.00000   1.75000   1.00000   0.75000   1.75000
Polich              3.08333   0.00000   2.41667   0.66667   3.08333
Deca                0.58333   0.50000   1.08333   0.00000   1.08333
Echino              0.33333   0.00000   0.33333   0.00000   0.33333
MicroZoopl          3.02083   0.33333   1.16667   2.18750   3.35417
MesoZoopl           3.76389   1.00000   3.66667   1.09722   4.76389
Phyto               7.04167   0.00000   1.83333   5.20833   7.04167
MacroAlga           2.54167   0.00000   2.00000   0.54167   2.54167
SarSal              0.00000   0.33333   0.33333   0.00000   0.33333
