TI3;"Tibur""""";"Zalo""""";"AvesMar""""";"Odon""""";"Merlu""""";"Sciae""""";"Rhino""""";"Serran""""";"Ray""""";"OtroPec""""";"Haemu""""";"Pela""""";"Cepha""""";"PecPla""""";"Mycto""""";"Mojar""""";"JTotoa""""";"ATotoa""""";"CDeRo""""";"Jaib""""";"CAA""""";"Polique""""";"CCA""""";"Vaqu""""";"Esto""""";"InvBenth""""";"CCPL""""";"Zoopl""""";"Myst""""";"CAPL""""";"AvesCos""""";"Macroph""""";"Phyto""""";;SUM;;
"ATotoa""""";0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,02;0,01;0,03;0,03;0,01;0,01;0,01;0,01;0,02;0,03;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;0,43;thresold;0,04
"AvesCos""""";0;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,03;0,03;0,01;0,03;0,03;0,01;0,03;0,01;0,01;0,02;0,01;0,01;;0,43;;
"AvesMar""""";0,04;0,02;0,02;0,01;0,01;0,03;0,01;0,01;0,01;0,02;0,03;0,03;0,03;0,01;0,01;0,03;0,01;0,02;0,01;0,03;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;0,56;;
"CAA""""";0,03;0,03;0,03;0,05;0,06;0,04;0,06;0,05;0,05;0,04;0,04;0,03;0,03;0,05;0,05;0,05;0,06;0,07;0,03;0,05;0,04;0,05;0,04;0,06;0,05;0,05;0,03;0,05;0,06;0,03;0,08;0,05;0,05;;1,52;;
"CAPL""""";0,02;0,02;0,02;0,02;0,02;0,03;0,02;0,01;0,02;0,03;0,03;0,04;0,04;0,04;0,04;0,03;0,02;0,02;0,02;0,03;0,02;0,02;0,02;0,02;0,04;0,02;0,03;0,04;0,05;0,03;0,02;0,04;0,04;;0,89;;
"CCA""""";0,02;0,02;0,02;0,04;0,02;0,03;0,03;0,05;0,04;0,02;0,04;0,02;0,02;0,02;0,04;0,04;0,02;0,02;0,02;0,04;0,03;0,04;0,03;0,05;0,05;0,04;0,02;0,04;0,05;0,02;0,07;0,05;0,04;;1,10;;
"CCPL""""";0,02;0,02;0,02;0,02;0,05;0,03;0,01;0,01;0,01;0,03;0,03;0,04;0,04;0,04;0,04;0,03;0,02;0,02;0,02;0,03;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,04;0,05;0,03;0,01;0,04;0,04;;0,90;;
"CDeRo""""";0,02;0,02;0,02;0,02;0,05;0,03;0,02;0,04;0,04;0,03;0,04;0,02;0,02;0,04;0,02;0,04;0,05;0,07;0,03;0,04;0,02;0,04;0,02;0,02;0,02;0,04;0,02;0,04;0,02;0,02;0,02;0,05;0,04;;1,03;;
"Cepha""""";0,05;0,06;0,06;0,04;0,02;0,04;0,02;0,01;0,02;0,03;0,04;0,03;0,04;0,04;0,05;0,02;0,02;0,07;0,02;0,02;0,02;0,02;0,02;0,05;0,01;0,02;0,05;0,04;0,06;0,05;0,01;0,02;0,04;;1,08;;
"Esto""""";0,02;0,02;0,02;0,02;0,02;0,03;0,05;0,05;0,04;0,03;0,02;0,02;0,01;0,02;0,02;0,04;0,05;0,02;0,03;0,05;0,04;0,04;0,05;0,02;0,03;0,04;0,02;0,04;0,02;0,04;0,08;0,05;0,04;;1,08;;
