Species                       Kbu       Ktd      Kdir    Kindir         K
Jcod                      0.81216   2.87264   2.48205   1.20275   3.68480
ToothWhale                0.00000  10.59702   3.48453   7.11250  10.59702
Seal                      0.00000  26.87767   7.60237  19.27530  26.87767
Bird                      0.00000   2.08272   0.75602   1.32670   2.08272
StarRay                   0.00000   1.48600   0.80296   0.68304   1.48600
Acod                      0.04545   8.38833   3.34823   5.08556   8.43379
Awhit                     0.43565   3.73665   2.12389   2.04841   4.17230
Lgado                     0.10795   3.12999   1.39513   1.84282   3.23794
Gurna                     0.13328   1.92301   1.01819   1.03810   2.05629
HorMack                   0.60757   4.81216   2.91324   2.50650   5.41973
TurBrill                  0.04545   1.37521   0.74496   0.67571   1.42066
Hal                       0.00000   1.61832   0.71429   0.90403   1.61832
Jwhit                     0.71672   1.19894   1.26712   0.64855   1.91567
BalWhale                  0.00000   1.61259   0.79208   0.82051   1.61259
Spur                      0.00000   2.24691   0.94749   1.29942   2.24691
Ashaite                   0.17313   2.94048   1.48543   1.62818   3.11361
MonkFish                  0.04545   2.49629   0.98540   1.55635   2.54174
Jhadd                     0.34644   0.85512   0.71874   0.48281   1.20155
Ahadd                     0.32454   1.26425   1.02791   0.56089   1.58879
Jsaithe                   0.15706   0.99381   0.69351   0.45737   1.15087
Hake                      0.06250   1.58379   0.57785   1.06845   1.64629
BlueWhit                  0.83237   0.53341   0.99119   0.37458   1.36577
Mack                      0.77839   2.02820   1.67366   1.13293   2.80659
Meg                       0.04545   0.93773   0.65247   0.33071   0.98318
SquidCuttFish             1.67813   3.09377   3.50242   1.26947   4.77190
NorPout                   2.78633   0.19098   2.33209   0.64521   2.97730
Jray                      0.00000   0.77828   0.53498   0.24330   0.77828
SkateRay                  0.00000   1.01039   0.69465   0.31574   1.01039
LRDab                     0.94582   1.15648   1.39717   0.70513   2.10230
Flou                      0.08418   1.82099   1.30535   0.59982   1.90516
Sgado                     2.37239   1.09242   2.75030   0.71451   3.46481
ThornRay                  0.00000   0.99903   0.56021   0.43882   0.99903
LdemFish                  0.00000   0.41101   0.24871   0.16230   0.41101
Jherr                     0.86322   0.14161   0.71863   0.28620   1.00483
Aherr                     0.74776   0.14161   0.79929   0.09008   0.88937
Sprat                     2.57919   0.22056   2.04197   0.75778   2.79975
SdemFish                  1.65105   1.08520   1.90473   0.83153   2.73625
Sande                     3.09158   0.56199   2.76934   0.88423   3.65357
Plai                      0.44407   1.08175   1.13457   0.39125   1.52582
Dab                       1.39766   0.58544   1.32624   0.65686   1.98310
Sole                      0.58834   0.24678   0.59500   0.24011   0.83511
LemSole                   0.27168   0.26115   0.37712   0.15572   0.53283
Witch                     0.19424   0.26115   0.30569   0.14970   0.45539
Dragon                    1.03337   0.46808   1.03344   0.46801   1.50145
FiltFeedPelaFish          0.87282   0.60213   1.02537   0.44958   1.47495
FishLarv                  2.35788   0.15806   0.71549   1.80044   2.51593
CarnZoopl                 6.09933   0.43830   3.40745   3.13018   6.53763
GelZoopl                  0.69849   0.56539   1.02949   0.23439   1.26388
Shri                      3.94296   0.48467   2.81729   1.61034   4.42763
HerbOmnZoopl             10.87352   0.17361   4.09054   6.95659  11.04713
Lcrab                     2.74704   0.72186   2.47026   0.99864   3.46890
CatFish                   0.00000   0.18102   0.11782   0.06320   0.18102
Neph                      1.25300   0.55727   1.08441   0.72585   1.81027
EpiFauMacroBenth          5.69651   0.43991   4.01786   2.11855   6.13641
Ssha                      0.00000   0.09902   0.07020   0.02883   0.09902
InFauMacroBenth           7.46522   0.38241   4.16065   3.68697   7.84763
SMobEpiFai               11.60790   0.29830   4.12986   7.77634  11.90620
SInFau                    8.47480   0.29830   3.51676   5.25633   8.77309
SessEpiBenth              2.11848   0.17361   1.38079   0.91130   2.29209
MeioFau                  11.55090   0.13281   1.98291   9.70080  11.68371
BenthMicroFlo            24.16526   0.06250   2.49266  21.73510  24.22776
PlMicroFlo               48.25096   0.00000   4.45009  43.80086  48.25096
Phyto                    12.74904   0.00000   2.50952  10.23952  12.74904
