TI3;"Bird""""";"PisF""""";"PlaF""""";"BentF""""";"BeDepF""""";"BeSuspF""""";"PerMacrophyt""""";"AnMacrophyt""""";"MacroZP""""";"MesoZP""""";"Phyto""""";;SUM
"Bird""""";0,13;0,16;0,15;0,15;0,19;0,15;0,28;0,19;0,07;0,06;0,06;;1,59
"PisF""""";0,11;0,09;0,13;0,12;0,13;0,05;0,08;0,08;0,12;0,06;0,05;;1,04
"PlaF""""";0,1;0,13;0,09;0,07;0,06;0,07;0,05;0,14;0,14;0,15;0,08;;1,08
"BentF""""";0,13;0,15;0,08;0,1;0,15;0,15;0,1;0,16;0,13;0,07;0,07;;1,29
"BeDepF""""";0,14;0,13;0,06;0,13;0,12;0,05;0,26;0,16;0,04;0,02;0,02;;1,13
"BeSuspF""""";0,08;0,04;0,05;0,1;0,04;0,09;0,04;0,04;0,07;0,16;0,19;;0,9
"PerMacrophyt""""";0,08;0,03;0,02;0,03;0,1;0,02;0,07;0,04;0,01;0,01;0;;0,42
"AnMacrophyt""""";0,11;0,07;0,11;0,11;0,13;0,04;0,08;0,08;0,04;0,03;0,02;;0,82
"MacroZP""""";0,05;0,12;0,14;0,11;0,04;0,09;0,03;0,05;0,1;0,18;0,2;;1,12
"MesoZP""""";0,04;0,05;0,12;0,05;0,02;0,16;0,01;0,03;0,14;0,11;0,21;;0,93
"Phyto""""";0,02;0,03;0,05;0,04;0,01;0,14;0,01;0,02;0,12;0,16;0,1;;0,69
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TO3;"Bird""""";"PisF""""";"PlaF""""";"BentF""""";"BeDepF""""";"BeSuspF""""";"PerMacrophyt""""";"AnMacrophyt""""";"MacroZP""""";"MesoZP""""";"Phyto""""";;SUM
"AnMacrophyt""""";0;0;0;0;0;0;0;0;0;0;0;;0
"BeDepF""""";0,14;0;0,09;0,14;0;0;0;0;0;0;0;;0,36
"BentF""""";0,18;0,05;0,09;0;0,14;0;0;0;0;0,05;0,05;;0,55
"BeSuspF""""";0;0;0,05;0;0;0;0;0;0,09;0,05;0,05;;0,23
"Bird""""";0;0,09;0,09;0,18;0,14;0;0;0;0,05;0,05;0,05;;0,64
"MacroZP""""";0,05;0,05;0,05;0;0;0,09;0;0;0;0,05;0,05;;0,32
"MesoZP""""";0,05;0;0,05;0,05;0;0,05;0;0;0,05;0;0,05;;0,27
"PerMacrophyt""""";0;0;0;0;0;0;0;0;0;0;0;;0
"Phyto""""";0,05;0;0,05;0,05;0;0,05;0;0;0,05;0,05;0;;0,27
"PisF""""";0,09;0;0;0,05;0;0;0;0;0,05;0;0;;0,18
"PlaF""""";0,09;0;0;0,09;0,09;0,05;0;0;0,05;0,05;0,05;;0,45
