Species                     Kbu       Ktd      Kdir    Kindir         K
Phyto                  28.28117   0.00000   2.83333  25.44784  28.28117
MicroMesoZoopl         21.71595   0.20000   5.75801  16.15794  21.91595
MacroZoopl              4.26995   0.30000   2.33301   2.23694   4.56995
Jelly                   0.19425   0.30000   0.37424   0.12001   0.49425
Sard                    2.10165   0.30000   2.14892   0.25273   2.40165
OSPelaFish              1.34689   0.36250   1.48523   0.22416   1.70939
SupBenth                3.81956   0.10000   1.92789   1.99167   3.91956
BenthInv                6.56923   0.10000   4.15213   2.51710   6.66923
Mull                    0.20644   0.47845   0.56367   0.12122   0.68489
DemFishOne              1.13674   2.83715   2.99241   0.98148   3.97389
BenthPelaFish           1.69843   0.47586   1.76655   0.40774   2.17429
Anch                    1.49046   0.10000   1.30530   0.28516   1.59046
HorMack                 0.37311   2.84578   1.50659   1.71229   3.21888
Mack                    0.20000   0.74235   0.80265   0.13970   0.94235
Shri                    2.22707   0.44920   2.15021   0.52605   2.67626
Crab                    3.23331   0.34568   2.22058   1.35841   3.57900
NorLobs                 0.39127   0.50746   0.60117   0.29756   0.89873
Ahake                   0.00000  16.66384   3.38374  13.28010  16.66384
BlueWhit                1.14830   0.25402   1.19280   0.20951   1.40231
DemSha                  0.00000   1.26585   0.79710   0.46876   1.26585
FinWhale                0.00000   1.71662   0.48377   1.23285   1.71662
FlatFish                0.13542   1.44001   0.80341   0.77202   1.57542
PoorCod                 0.16286   2.00686   1.27957   0.89014   2.16972
Jhake                   0.21875   3.09157   1.63033   1.67999   3.31032
DemFishThree            0.35417   3.46792   2.07117   1.75092   3.82209
Polych                  5.71883   0.00000   2.72713   2.99170   5.71883
BenthCepha              0.95634   1.86758   2.03077   0.79315   2.82392
BenthPelaCepha          0.79149   4.61518   2.80854   2.59814   5.40668
AngFish                 0.08333   8.83208   3.32692   5.58849   8.91541
AtlBoni                 0.00000   2.34248   1.46230   0.88018   2.34248
SwordFishTuna           0.00000   3.28585   1.04563   2.24022   3.28585
CongEel                 0.13542   0.99630   0.65394   0.47777   1.13172
DemFishTwo              0.28077   0.07333   0.30278   0.05133   0.35411
LogTurtle               0.00000   0.07333   0.06667   0.00667   0.07333
Dolph                   0.00000   2.48951   0.88654   1.60297   2.48951
AudGull                 0.00000   0.16250   0.12500   0.03750   0.16250
