TI3;"OisMar""""";"SardRond""""";"SardPlat""""";"AutrPela""""";"MarMamm""""";"Cepha""""";"DemCot""""";"Zoopl""""";"ThonLar""""";"Req""""";"ThonCot""""";"Ray""""";"MeioBenth""""";"MacroBenth""""";"BenthProd""""";"Phyto""""";;SUM;;
"AutrPela""""";0,17;0,08;0,08;0,08;0,11;0,10;0,07;0,10;0,12;0,12;0,13;0,02;0,02;0,03;0,02;0,12;;1,35;thresold;0,10
"BenthProd""""";0,00;0,01;0,01;0,01;0,01;0,02;0,07;0,01;0,00;0,01;0,00;0,17;0,17;0,14;0,10;0,01;;0,75;;
"Cepha""""";0,06;0,10;0,10;0,10;0,11;0,07;0,08;0,10;0,11;0,06;0,13;0,04;0,04;0,10;0,04;0,06;;1,30;;
"DemCot""""";0,06;0,10;0,10;0,10;0,12;0,10;0,09;0,10;0,07;0,11;0,07;0,20;0,20;0,18;0,20;0,13;;1,93;;
"MacroBenth""""";0,01;0,01;0,01;0,01;0,02;0,06;0,07;0,01;0,01;0,01;0,01;0,18;0,18;0,10;0,18;0,02;;0,90;;
"MarMamm""""";0,05;0,08;0,08;0,08;0,05;0,08;0,06;0,07;0,05;0,04;0,05;0,02;0,02;0,02;0,02;0,05;;0,80;;
"MeioBenth""""";0,00;0,01;0,01;0,01;0,01;0,02;0,07;0,01;0,00;0,01;0,00;0,17;0,10;0,14;0,17;0,01;;0,75;;
"OisMar""""";0,04;0,06;0,06;0,06;0,02;0,02;0,02;0,02;0,03;0,03;0,03;0,00;0,00;0,00;0,00;0,03;;0,40;;
"Phyto""""";0,04;0,07;0,07;0,07;0,04;0,03;0,05;0,07;0,04;0,04;0,04;0,01;0,01;0,02;0,01;0,04;;0,67;;
"Ray""""";0,00;0,01;0,01;0,01;0,01;0,02;0,07;0,01;0,00;0,01;0,00;0,10;0,17;0,14;0,17;0,01;;0,75;;
"Req""""";0,05;0,08;0,08;0,08;0,04;0,04;0,06;0,08;0,10;0,05;0,05;0,01;0,01;0,02;0,01;0,05;;0,81;;
"SardPlat""""";0,17;0,08;0,08;0,08;0,11;0,10;0,07;0,10;0,12;0,12;0,13;0,02;0,02;0,03;0,02;0,12;;1,35;;
"SardRond""""";0,17;0,08;0,08;0,08;0,11;0,10;0,07;0,10;0,12;0,12;0,13;0,02;0,02;0,03;0,02;0,12;;1,35;;
"ThonCot""""";0,04;0,07;0,07;0,07;0,04;0,07;0,03;0,07;0,04;0,04;0,05;0,01;0,01;0,01;0,01;0,04;;0,66;;
"ThonLar""""";0,05;0,08;0,08;0,08;0,05;0,07;0,03;0,08;0,06;0,10;0,05;0,01;0,01;0,01;0,01;0,05;;0,81;;
"Zoopl""""";0,08;0,11;0,11;0,11;0,12;0,11;0,08;0,08;0,13;0,13;0,14;0,02;0,02;0,03;0,02;0,13;;1,42;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
WI3;"OisMar""""";"SardRond""""";"SardPlat""""";"AutrPela""""";"MarMamm""""";"Cepha""""";"DemCot""""";"Zoopl""""";"ThonLar""""";"Req""""";"ThonCot""""";"Ray""""";"MeioBenth""""";"MacroBenth""""";"BenthProd""""";"Phyto""""";;SUM;;
"AutrPela""""";2,58163E+11;3,256E+13;3,85999E+13;2,61639E+13;44389965754;8,67779E+11;1,88322E+12;2,3949E+15;1,31452E+12;56156342191;3,32613E+12;46456041,77;856503518,3;3110021670;5225695333;1,19803E+15;;3698013569202980,00;thresold;1727368250473,44
"BenthProd""""";8944890,8;2825569692;3252259856;2322531259;21997999,98;18170784216;65159285136;1,466E+11;254294904,7;16252285,18;506292939,8;8069372151;1,72737E+12;2,18222E+12;1,18723E+12;1,32124E+11;;5476154766980,59;;1727368250473,44
