TI3;"OisMar""""";"SardRond""""";"SardPlat""""";"AutrPela""""";"MarMamm""""";"Cepha""""";"DemCot""""";"Zoopl""""";"ThonLar""""";"Req""""";"ThonCot""""";"Ray""""";"MeioBenth""""";"MacroBenth""""";"BenthProd""""";"Phyto""""";;SUM
"OisMar""""";0,04;0,06;0,06;0,06;0,02;0,02;0,02;0,02;0,03;0,03;0,03;0;0;0;0;0,03;;0,4
"SardRond""""";0,17;0,08;0,08;0,08;0,11;0,1;0,07;0,1;0,12;0,12;0,13;0,02;0,02;0,03;0,02;0,12;;1,35
"SardPlat""""";0,17;0,08;0,08;0,08;0,11;0,1;0,07;0,1;0,12;0,12;0,13;0,02;0,02;0,03;0,02;0,12;;1,35
"AutrPela""""";0,17;0,08;0,08;0,08;0,11;0,1;0,07;0,1;0,12;0,12;0,13;0,02;0,02;0,03;0,02;0,12;;1,35
"MarMamm""""";0,05;0,08;0,08;0,08;0,05;0,08;0,06;0,07;0,05;0,04;0,05;0,02;0,02;0,02;0,02;0,05;;0,8
"Cepha""""";0,06;0,1;0,1;0,1;0,11;0,07;0,08;0,1;0,11;0,06;0,13;0,04;0,04;0,1;0,04;0,06;;1,3
"DemCot""""";0,06;0,1;0,1;0,1;0,12;0,1;0,09;0,1;0,07;0,11;0,07;0,2;0,2;0,18;0,2;0,13;;1,93
"Zoopl""""";0,08;0,11;0,11;0,11;0,12;0,11;0,08;0,08;0,13;0,13;0,14;0,02;0,02;0,03;0,02;0,13;;1,42
"ThonLar""""";0,05;0,08;0,08;0,08;0,05;0,07;0,03;0,08;0,06;0,1;0,05;0,01;0,01;0,01;0,01;0,05;;0,81
"Req""""";0,05;0,08;0,08;0,08;0,04;0,04;0,06;0,08;0,1;0,05;0,05;0,01;0,01;0,02;0,01;0,05;;0,81
"ThonCot""""";0,04;0,07;0,07;0,07;0,04;0,07;0,03;0,07;0,04;0,04;0,05;0,01;0,01;0,01;0,01;0,04;;0,66
"Ray""""";0;0,01;0,01;0,01;0,01;0,02;0,07;0,01;0;0,01;0;0,1;0,17;0,14;0,17;0,01;;0,75
"MeioBenth""""";0;0,01;0,01;0,01;0,01;0,02;0,07;0,01;0;0,01;0;0,17;0,1;0,14;0,17;0,01;;0,75
"MacroBenth""""";0,01;0,01;0,01;0,01;0,02;0,06;0,07;0,01;0,01;0,01;0,01;0,18;0,18;0,1;0,18;0,02;;0,9
"BenthProd""""";0;0,01;0,01;0,01;0,01;0,02;0,07;0,01;0;0,01;0;0,17;0,17;0,14;0,1;0,01;;0,75
"Phyto""""";0,04;0,07;0,07;0,07;0,04;0,03;0,05;0,07;0,04;0,04;0,04;0,01;0,01;0,02;0,01;0,04;;0,67
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
TO3;"OisMar""""";"SardRond""""";"SardPlat""""";"AutrPela""""";"MarMamm""""";"Cepha""""";"DemCot""""";"Zoopl""""";"ThonLar""""";"Req""""";"ThonCot""""";"Ray""""";"MeioBenth""""";"MacroBenth""""";"BenthProd""""";"Phyto""""";;SUM
"AutrPela""""";0;0,19;0,19;0;0;0,09;0,09;0,16;0;0;0;0;0;0;0;0;;0,72
"BenthProd""""";0;0;0;0;0;0,03;0,13;0;0;0;0;0,13;0,13;0,09;0;0;;0,5
"Cepha""""";0;0,09;0,09;0,09;0;0;0,06;0,09;0;0;0;0,03;0,03;0;0,03;0;;0,53
"DemCot""""";0;0,09;0,09;0,09;0;0,06;0;0,13;0;0;0;0,13;0,13;0,09;0,13;0;;0,94
"MacroBenth""""";0;0;0;0;0;0;0,09;0;0;0;0;0,09;0,09;0;0,09;0;;0,38
"MarMamm""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MeioBenth""""";0;0;0;0;0;0,03;0,13;0;0;0;0;0,13;0;0,09;0,13;0;;0,5
"OisMar""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Ray""""";0;0;0;0;0;0,03;0,13;0;0;0;0;0;0,13;0,09;0,13;0;;0,5
"Req""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"SardPlat""""";0;0,19;0;0,19;0;0,09;0,09;0,16;0;0;0;0;0;0;0;0;;0,72
"SardRond""""";0;0;0,19;0,19;0;0,09;0,09;0,16;0;0;0;0;0;0;0;0;;0,72
"ThonCot""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ThonLar""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Zoopl""""";0;0,16;0,16;0,16;0;0,09;0,13;0;0;0;0;0;0;0;0;0;;0,69
