Species                 Kbu       Ktd      Kdir    Kindir         K
ThonLar             0.16667   1.71878   1.03968   0.84577   1.88545
Req                 0.00000   4.20529   1.78968   2.41561   4.20529
Cepha               0.60000   2.04206   1.68968   0.95238   2.64206
MarMamm             0.00000   2.50053   1.12302   1.37751   2.50053
ThonCot             0.00000   1.71878   0.87302   0.84577   1.71878
DemCot              0.85000   2.12698   2.40635   0.57063   2.97698
Ray                 0.00000   2.00397   1.16667   0.83730   2.00397
SardRond            1.59792   0.33333   1.66944   0.26181   1.93125
OisMar              0.00000   0.57143   0.42857   0.14286   0.57143
SardPlat            1.59792   0.33333   1.66944   0.26181   1.93125
AutrPela            1.59792   0.33333   1.66944   0.26181   1.93125
Zoopl               5.16146   0.20000   2.72500   2.63646   5.36146
MeioBenth           1.35521   0.25000   1.12500   0.48021   1.60521
MacroBenth          0.74792   0.66667   1.12500   0.28958   1.41458
BenthProd           3.71042   0.00000   1.87500   1.83542   3.71042
Phyto              10.28958   0.00000   2.62500   7.66458  10.28958
