TI3;"Mamm""""";"Lcod""""";"Scod""""";"LOFish""""";"SOFish""""";"Herr""""";"Cormo""""";"Krill""""";"Shri""""";"OLZoopl""""";"Lcrus""""";"PredBenth""""";"DetPolych""""";"SbenthC""""";"Smollu""""";"DetEchino""""";"OBenthI""""";"Szoopl""""";"Chaet""""";"MicroZoopl""""";"Schyp""""";"Phyto""""";"HeteroN""""";"Baci""""";"Lbivalv""""";"MacroAlga""""";;SUM
"Mamm""""";0,04;0,04;0,05;0,06;0,05;0,07;0,03;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0;0;0;0,01;;0,57
"Lcod""""";0,13;0,07;0,1;0,1;0,09;0,1;0,23;0,07;0,09;0,09;0,09;0,09;0,08;0,08;0,11;0,09;0,12;0,03;0,03;0,02;0,04;0,03;0,02;0,04;0,04;0,06;;2,03
"Scod""""";0,12;0,08;0,06;0,05;0,08;0,09;0,22;0,07;0,08;0,08;0,07;0,07;0,07;0,08;0,04;0,07;0,04;0,03;0,03;0,02;0,03;0,03;0,01;0,02;0,03;0,04;;1,63
"LOFish""""";0,1;0,05;0,03;0,05;0,06;0,03;0,03;0,05;0,03;0,01;0,06;0,03;0,06;0,03;0,08;0,06;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,04;;0,93
"SOFish""""";0,11;0,07;0,07;0,1;0,06;0,04;0,05;0,06;0,07;0,03;0,08;0,08;0,08;0,07;0,1;0,07;0,04;0,02;0,02;0,01;0,02;0,03;0,01;0,02;0,03;0,06;;1,39
"Herr""""";0,09;0,04;0,05;0,02;0,02;0,05;0,03;0,07;0,02;0,07;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,07;0,11;0,03;0,06;0,02;0,02;0,01;0,01;0,01;;0,91
"Cormo""""";0,01;0,03;0,03;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0;0;0;0;0;0;0;;0,22
"Krill""""";0,04;0,05;0,05;0,07;0,05;0,1;0,03;0,06;0,03;0,05;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,1;0,14;0,11;0,15;0,07;0,05;0,02;0,02;0,01;;1,33
"Shri""""";0,03;0,05;0,05;0,03;0,06;0,03;0,04;0,03;0,05;0,08;0,03;0,03;0,06;0,06;0,07;0,03;0,02;0,06;0,02;0,02;0,03;0,07;0,03;0,02;0,02;0,04;;1,05
"OLZoopl""""";0,03;0,04;0,05;0,01;0,02;0,08;0,03;0,04;0,07;0,05;0,02;0,02;0,02;0,05;0,02;0,01;0,01;0,08;0,05;0,03;0,12;0,07;0,03;0,01;0,02;0,02;;1,01
"Lcrus""""";0,04;0,06;0,06;0,08;0,07;0,02;0,04;0,02;0,04;0,02;0,06;0,09;0,07;0,07;0,09;0,08;0,11;0,01;0;0,01;0,01;0,03;0,01;0,05;0,12;0,06;;1,32
"PredBenth""""";0,03;0,06;0,06;0,04;0,07;0,02;0,04;0,02;0,03;0,02;0,08;0,06;0,07;0,07;0,09;0,08;0,11;0,01;0;0,01;0;0,02;0,01;0,05;0,12;0,05;;1,2
"DetPolych""""";0,04;0,06;0,06;0,08;0,07;0,02;0,04;0,03;0,07;0,03;0,07;0,08;0,05;0,07;0,04;0,07;0,05;0,02;0,01;0,03;0,01;0,07;0,03;0,09;0,05;0,04;;1,28
"SbenthC""""";0,03;0,06;0,06;0,04;0,07;0,03;0,04;0,02;0,08;0,07;0,07;0,07;0,07;0,06;0,05;0,07;0,04;0,02;0,01;0,02;0,02;0,07;0,02;0,03;0,04;0,15;;1,32
