Species                 Kbu       Ktd      Kdir    Kindir         K
Lcod                0.70000  10.91112   4.09683   7.51430  11.61112
Mamm                0.00000  12.58356   1.91667  10.66689  12.58356
Cormo               0.00000   8.28792   0.83333   7.45458   8.28792
Scod                0.82143   5.99706   2.91825   3.90024   6.81849
LOFish              0.32143   3.13564   1.35873   2.09834   3.45707
SOFish              0.72381   3.73992   2.10159   2.36214   4.46373
Herr                0.50357   2.12853   1.34762   1.28448   2.63210
Krill               1.90714   1.14815   1.90754   1.14775   3.05529
Schyp               0.00000   2.12853   0.97619   1.15234   2.12853
Chaet               0.62589   1.34392   1.14286   0.82695   1.96981
Szoopl              3.82787   1.38889   2.77778   2.43898   5.21676
Shri                0.51905   1.38757   1.16151   0.74511   1.90661
OLZoopl             1.87558   0.50926   1.36587   1.01896   2.38483
MicroZoopl          3.12030   0.91667   1.77778   2.25919   4.03697
HeteroN             2.98272   0.27778   0.94444   2.31606   3.26050
SbenthC             1.77175   0.83796   1.69484   0.91487   2.60971
Lcrus               0.73929   2.65419   2.05040   1.34308   3.39348
PredBenth           0.76752   1.92335   1.77659   0.91428   2.69087
DetPolych           2.68492   0.27778   1.66706   1.29563   2.96270
DetEchino           1.28234   1.19621   1.77659   0.70196   2.47855
Smollu              1.35337   0.33333   1.17262   0.51409   1.68671
Lbivalv             0.54306   0.27778   0.58730   0.23353   0.82083
OBenthI             1.12095   0.16667   0.74762   0.54000   1.28762
Baci                8.55620   0.00000   3.03333   5.52287   8.55620
Phyto              10.94102   0.00000   3.41667   7.52435  10.94102
MacroAlga           3.50278   0.00000   1.45000   2.05278   3.50278
