TI3;"Phyto""""";"MicroZoopl""""";"Copyp""""";"Mysid""""";"UpoAfri""""";"FishLarv""""";"ZooplEater""""";"BenthMicroAl""""";"MeioFau""""";"Det""""";"Graz""""";"SuspFeed""""";"CalliaKra""""";"Sol""""";"Herb""""";"BenthFeed""""";"Epiph""""";"FreeWat""""";"AttWat""""";"SedBaci""""";"CarnMac""""";"Pisci""""";"SkipJack""""";"Grunter""""";"Leer""""";"DuskyKob""""";"CatFish""""";"Bird""""";;SUM
"Phyto""""";0,07;0,15;0,11;0,09;0,06;0,14;0,06;0;0;0,01;0,01;0,01;0,01;0;0,01;0,02;0;0,1;0,06;0;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,02;;0,99
"MicroZoopl""""";0,1;0,13;0,09;0,07;0,01;0,05;0,02;0;0;0;0;0;0;0;0;0,01;0;0,45;0,03;0;0;0,01;0,01;0;0;0;0;0;;1,01
"Copyp""""";0,12;0,16;0,08;0,1;0,03;0,15;0,07;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,04;0;0,11;0,13;0;0,01;0,02;0,02;0,01;0,02;0,01;0,01;0,01;;1,16
"Mysid""""";0,13;0,17;0,13;0,08;0,04;0,15;0,08;0,01;0,01;0,02;0,01;0,02;0,01;0;0,02;0,04;0,01;0,11;0,14;0,01;0,02;0,06;0,07;0,01;0,02;0,02;0,02;0,02;;1,43
"UpoAfri""""";0,08;0,03;0,04;0,04;0,05;0,03;0,04;0,02;0,02;0,03;0,02;0,03;0,03;0,02;0,02;0,05;0,02;0,01;0,12;0,02;0,02;0,06;0,07;0,08;0,02;0,08;0,07;0,1;;1,25
"FishLarv""""";0,09;0,05;0,08;0,07;0,01;0,05;0,02;0;0,01;0,01;0,01;0,01;0,01;0;0;0,03;0;0,04;0,03;0;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;0,58
"ZooplEater""""";0,11;0,05;0,1;0,09;0,05;0,06;0,07;0,02;0,02;0,03;0,03;0,04;0,03;0;0,03;0,05;0,03;0,04;0,14;0,02;0,04;0,07;0,08;0,02;0,15;0,08;0,07;0,1;;1,62
"BenthMicroAl""""";0;0;0,01;0,01;0,02;0,01;0,01;0,06;0,08;0,07;0,15;0,07;0,09;0,16;0,06;0,05;0,04;0;0;0,05;0,03;0,03;0,02;0,04;0,02;0,02;0,04;0,03;;1,18
"MeioFau""""";0;0;0,01;0,01;0,02;0,01;0,01;0,07;0,05;0,03;0,03;0,03;0,03;0,05;0,06;0,04;0,05;0;0,01;0,08;0,07;0,06;0,02;0,08;0,04;0,03;0,02;0,02;;0,93
"Det""""";0,01;0;0,01;0,02;0,03;0,01;0,03;0,08;0,04;0,05;0,04;0,04;0,05;0,05;0,03;0,05;0,02;0;0,01;0,08;0,07;0,07;0,07;0,08;0,03;0,03;0,07;0,1;;1,18
