TI3;"UlvRig""""";"MacroBenthHerbDet""""";"MacroBenthOmnMixFeed""""";"Grass""""";"MacroAlga""""";"Epiph""""";"MicroMeioBenth""""";"AMugi""""";"ADicLab""""";"Phyto""""";"Zoopl""""";"MacroBenthOmnFiltFeed""""";"JTPhil""""";"TPhilCom""""";"Bacipl""""";"JMugi""""";"AtherBoy""""";"NektCarnBenth""""";"JSparAur""""";"MacroBenthDet""""";"MacroBenthOmn""""";"ZosOph""""";"ASparAur""""";"Bird""""";;SUM;;;
"ADicLab""""";0,03;0,04;0,06;0,03;0,03;0,11;0,04;0,11;0,06;0,03;0,06;0,03;0,08;0,03;0,03;0,03;0,06;0,07;0,03;0,04;0,03;0,07;0,04;0,02;;1,16;0,05;;0,06
"AMugi""""";0,04;0,09;0,03;0,06;0,04;0,11;0,07;0,06;0,07;0;0,01;0,01;0,01;0;0;0,01;0,02;0,02;0,02;0,06;0,02;0,03;0,01;0,01;;0,78;0,03;;
"ASparAur""""";0,02;0,02;0,05;0,01;0,02;0,02;0,03;0,01;0,03;0,05;0,04;0,08;0,09;0,1;0,05;0,02;0,05;0,07;0,02;0,03;0,04;0,07;0,05;0,01;;0,98;0,04;;
"AtherBoy""""";0,05;0,09;0,07;0,05;0,05;0,05;0,09;0,05;0,08;0,03;0,07;0,04;0,04;0,03;0,03;0,08;0,07;0,05;0,14;0,09;0,08;0,09;0,09;0,18;;1,68;0,07;;
"Bacipl""""";0;0;0,01;0;0;0;0,01;0;0,02;0,06;0,06;0,07;0,09;0,1;0,06;0,02;0,01;0,02;0,01;0,01;0,02;0,01;0,03;0,01;;0,61;0,03;;
"Bird""""";0;0,01;0,01;0;0;0;0,02;0,01;0,01;0;0,02;0;0,01;0,01;0;0,15;0,05;0,01;0,1;0,03;0,01;0,01;0,01;0,07;;0,53;0,02;;
"Epiph""""";0,04;0,09;0,05;0,06;0,04;0,06;0,06;0,11;0,07;0;0,01;0,01;0,01;0;0;0,01;0,02;0,02;0,02;0,03;0,02;0,03;0,01;0,01;;0,78;0,03;;
"Grass""""";0,02;0,07;0,01;0,05;0,02;0,01;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;;0,21;0,01;;
"JMugi""""";0;0;0,01;0;0;0;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,06;0,02;0,01;0,04;0,05;0,01;0,01;0,01;0,15;;0,51;0,02;;
"JSparAur""""";0,01;0,01;0,02;0;0,01;0,02;0,06;0,02;0,02;0,01;0,05;0,01;0,01;0,01;0,01;0,07;0,06;0,02;0,06;0,07;0,02;0,02;0,01;0,16;;0,77;0,03;;
