TI3;"UlvRig""""";"MacroBenthHerbDet""""";"MacroBenthOmnMixFeed""""";"Grass""""";"MacroAlga""""";"Epiph""""";"MicroMeioBenth""""";"AMugi""""";"ADicLab""""";"Phyto""""";"Zoopl""""";"MacroBenthOmnFiltFeed""""";"JTPhil""""";"TPhilCom""""";"Bacipl""""";"JMugi""""";"AtherBoy""""";"NektCarnBenth""""";"JSparAur""""";"MacroBenthDet""""";"MacroBenthOmn""""";"ZosOph""""";"ASparAur""""";"Bird""""";;SUM;
"UlvRig""""";0,04;0,07;0,04;0,05;0,04;0,02;0,01;0,01;0,01;0;0;0,01;0;0;0;0;0,01;0,01;0;0,01;0,01;0,01;0,01;0;;0,34;
"MacroBenthHerbDet""""";0,25;0,13;0,04;0,46;0,25;0,12;0,03;0,12;0,03;0;0,01;0,01;0,01;0;0;0,01;0,06;0,02;0,02;0,03;0,01;0,07;0,02;0,01;;1,71;
"MacroBenthOmnMixFeed""""";0,23;0,08;0,08;0,07;0,23;0,13;0,1;0,07;0,1;0,04;0,07;0,09;0,05;0,04;0,04;0,04;0,08;0,1;0,05;0,09;0,09;0,1;0,1;0,03;;2,1;
"Grass""""";0,02;0,07;0,01;0,05;0,02;0,01;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;;0,21;
"MacroAlga""""";0,04;0,07;0,04;0,05;0,04;0,02;0,01;0,01;0,01;0;0;0,01;0;0;0;0;0,01;0,01;0;0,01;0,01;0,01;0,01;0;;0,34;
"Epiph""""";0,04;0,09;0,05;0,06;0,04;0,06;0,06;0,11;0,07;0;0,01;0,01;0,01;0;0;0,01;0,02;0,02;0,02;0,03;0,02;0,03;0,01;0,01;;0,78;
"MicroMeioBenth""""";0,04;0,04;0,07;0,03;0,04;0,11;0,06;0,12;0,05;0,01;0,03;0,03;0,02;0,02;0,01;0,04;0,07;0,08;0,11;0,09;0,08;0,08;0,03;0,05;;1,3;
"AMugi""""";0,04;0,09;0,03;0,06;0,04;0,11;0,07;0,06;0,07;0;0,01;0,01;0,01;0;0;0,01;0,02;0,02;0,02;0,06;0,02;0,03;0,01;0,01;;0,78;
"ADicLab""""";0,03;0,04;0,06;0,03;0,03;0,11;0,04;0,11;0,06;0,03;0,06;0,03;0,08;0,03;0,03;0,03;0,06;0,07;0,03;0,04;0,03;0,07;0,04;0,02;;1,16;
"Phyto""""";0;0;0,01;0;0;0;0,01;0;0,02;0,06;0,06;0,07;0,09;0,1;0,06;0,02;0,01;0,02;0,01;0,01;0,02;0,01;0,03;0,01;;0,61;
