Species                            Kbu       Ktd      Kdir    Kindir         K
UlvRig                         0.78357   0.00000   0.39286   0.39071   0.78357
MacroBenthHerbDet              0.81498   2.20000   2.75952   0.25546   3.01498
MacroBenthOmnMixFeed           1.30877   1.99375   2.67183   0.63069   3.30252
Grass                          0.45375   0.00000   0.25000   0.20375   0.45375
MacroAlga                      0.78357   0.00000   0.39286   0.39071   0.78357
Epiph                          7.82712   0.00000   1.76786   6.05926   7.82712
MicroMeioBenth                 5.63730   0.20000   2.48571   3.35159   5.83730
AMugi                          0.12500   1.56042   0.90833   0.77708   1.68542
ADicLab                        0.00000   9.03809   2.84444   6.19365   9.03809
Phyto                          4.07600   0.00000   1.50000   2.57600   4.07600
Zoopl                          3.74995   0.50000   2.85119   1.39876   4.24995
MacroBenthOmnFiltFeed          1.16098   0.66667   1.37302   0.45464   1.82765
JTPhil                         0.53354   0.66667   1.04563   0.15457   1.20021
TPhilCom                       0.40854   0.66667   0.92063   0.15457   1.07521
Bacipl                         4.07600   0.00000   1.50000   2.57600   4.07600
JMugi                          0.33333   0.31042   0.56944   0.07431   0.64375
AtherBoy                       1.11565   3.78351   2.35516   2.54399   4.89915
NektCarnBenth                  0.44898   3.05017   1.63849   1.86066   3.49915
JSparAur                       0.33333   1.41712   0.89444   0.85601   1.75045
MacroBenthDet                  2.65198   0.15000   1.91071   0.89127   2.80198
MacroBenthOmn                  0.59410   2.51493   1.78333   1.32570   3.10903
ZosOph                         0.26786   4.49947   1.75119   3.01613   4.76732
ASparAur                       0.00000   7.27767   2.23333   5.04434   7.27767
Bird                           0.00000   4.68424   2.20000   2.48424   4.68424
