TI3;"UlvRig""""";"MacroBenthHerbDet""""";"MacroBenthOmnMixFeed""""";"ADicLab""""";"Grass""""";"MacroAlga""""";"AMugi""""";"Epiph""""";"MicroMeioBenth""""";"Phyto""""";"Zoopl""""";"MacroBenthOmnFiltFeed""""";"JTPhil""""";"TPhilCom""""";"Bacipl""""";"JMugi""""";"AtherBoy""""";"NektCarnBenth""""";"JSparAur""""";"JDicLab""""";"MacroBenthDet""""";"MacroBenthOmn""""";"ZosOph""""";"ASparAur""""";"Bird""""";;SUM;
"UlvRig""""";0,05;0,13;0,04;0,06;0,08;0,04;0,02;0,04;0,01;0;0,01;0,01;0,01;0;0;0;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0;;0,59;
"MacroBenthHerbDet""""";0,18;0,17;0,03;0,02;0,5;0,18;0,03;0,18;0,02;0;0;0;0;0;0;0;0,01;0,01;0;0;0,01;0;0,01;0;0;;1,35;
"MacroBenthOmnMixFeed""""";0,18;0,09;0,08;0,11;0,08;0,18;0,08;0,18;0,1;0,04;0,07;0,09;0,05;0,04;0,04;0,04;0,09;0,1;0,05;0,04;0,09;0,09;0,11;0,1;0,04;;2,13;
"ADicLab""""";0,15;0,04;0,06;0,06;0,03;0,05;0,12;0,03;0,04;0,03;0,06;0,03;0,09;0,03;0,03;0,02;0,06;0,07;0,03;0,04;0,04;0,03;0,08;0,04;0,02;;1,28;
"Grass""""";0,03;0,13;0,01;0;0,08;0,03;0,01;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,31;
"MacroAlga""""";0,04;0,14;0,04;0,02;0,08;0,06;0,11;0,04;0,02;0;0;0,01;0;0;0;0;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0;;0,64;
"AMugi""""";0,03;0,03;0,02;0,06;0,03;0,14;0,06;0,03;0,06;0;0,01;0,01;0,01;0;0;0,01;0,02;0,02;0,02;0;0,05;0,02;0,02;0,01;0,01;;0,68;
"Epiph""""";0,04;0,13;0,04;0,01;0,08;0,04;0,02;0,05;0,05;0;0;0,01;0;0;0;0;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0;;0,58;
"MicroMeioBenth""""";0,03;0,04;0,07;0,04;0,03;0,06;0,13;0,15;0,07;0,01;0,03;0,03;0,02;0,02;0,01;0,04;0,08;0,08;0,11;0,01;0,09;0,08;0,08;0,04;0,05;;1,4;
"Phyto""""";0,01;0;0,01;0,02;0;0;0;0;0,01;0,05;0,06;0,07;0,09;0,1;0,05;0,01;0,01;0,02;0,01;0,04;0,01;0,02;0,01;0,02;0,01;;0,63;
