Species              Kbu       Ktd      Kdir    Kindir         K
HorMack          0.24444   0.28000   0.41111   0.11333   0.52444
Lion             0.00000  13.60833   4.58333   9.02500  13.60833
ChHakeA          0.33333   5.44833   4.01111   1.77056   5.78167
CarFish          0.11111   0.28000   0.31111   0.08000   0.39111
Bcong            0.11111   4.71917   1.47778   3.35250   4.83028
ChHakeJ          0.96667   2.51333   2.81111   0.66889   3.48000
Psperch          0.00000   1.15833   0.45000   0.70833   1.15833
RatFish          0.13333   0.36667   0.46667   0.03333   0.50000
Eupha            3.26984   0.40000   3.10952   0.56032   3.66984
Copep            5.18571   0.16667   2.66667   2.68571   5.35238
PilJ             0.52540   0.40000   0.72063   0.20476   0.92540
PilA             0.52540   0.40000   0.72063   0.20476   0.92540
AnchJ            0.52540   0.40000   0.72063   0.20476   0.92540
AnchA            0.52540   0.40000   0.72063   0.20476   0.92540
CPrownJ          1.86984   0.00000   1.60952   0.26032   1.86984
Skate            0.00000   0.61667   0.61667   0.00000   0.61667
BigEye           0.00000   0.61667   0.61667   0.00000   0.61667
CPrownA          1.73651   0.00000   1.50952   0.22698   1.73651
Yprown           1.02222   0.00000   0.96667   0.05556   1.02222
Phyto           11.37143   0.00000   3.50000   7.87143  11.37143
