TI3;"Cormo""""";"Forage""""";"Jmull""""";"Bass""""";"ZooBenth""""";"Eal""""";"Bream""""";"Zoopl""""";"Mull""""";"Phyto""""";"Pleust""""";;SUM
"Cormo""""";0,06;0,09;0,08;0,04;0,03;0,04;0,01;0,03;0,01;0,02;0,02;;0,44
"Forage""""";0,27;0,13;0,16;0,21;0,12;0,21;0,08;0,17;0,05;0,09;0,07;;1,56
"Jmull""""";0,29;0,18;0,13;0,22;0,14;0,22;0,09;0,18;0,11;0,1;0,2;;1,85
"Bass""""";0,07;0,1;0,09;0,06;0,08;0,06;0,05;0,05;0,04;0,04;0,04;;0,68
"ZooBenth""""";0,11;0,18;0,18;0,23;0,18;0,23;0,47;0,23;0,32;0,31;0,27;;2,71
"Eal""""";0,07;0,1;0,09;0,06;0,08;0,06;0,05;0,05;0,04;0,04;0,04;;0,68
"Bream""""";0,01;0,01;0,01;0,02;0,05;0,02;0,04;0,02;0,02;0,02;0,02;;0,24
"Zoopl""""";0,07;0,11;0,1;0,07;0,1;0,07;0,07;0,1;0,05;0,24;0,05;;1,01
"Mull""""";0,01;0,02;0,03;0,03;0,07;0,03;0,05;0,02;0,09;0,03;0,16;;0,53
"Phyto""""";0,02;0,03;0,03;0,03;0,07;0,03;0,05;0,12;0,03;0,07;0,03;;0,49
"Pleust""""";0,03;0,04;0,08;0,04;0,09;0,04;0,06;0,04;0,24;0,04;0,1;;0,81
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TO3;"Cormo""""";"Forage""""";"Jmull""""";"Bass""""";"ZooBenth""""";"Eal""""";"Bream""""";"Zoopl""""";"Mull""""";"Phyto""""";"Pleust""""";;SUM
"Bass""""";0;0;0;0;0;0;0;0;0;0;0;;0
"Bream""""";0;0;0;0;0;0;0;0;0;0;0;;0
"Cormo""""";0;0;0;0;0;0;0;0;0;0;0;;0
"Eal""""";0;0;0;0;0;0;0;0;0;0;0;;0
"Forage""""";0;0;0,32;0;0,32;0;0;0,05;0;0,05;0;;0,73
"Jmull""""";0;0,32;0;0;0,36;0;0;0,05;0,05;0,05;0;;0,82
"Mull""""";0;0;0,05;0;0,05;0;0;0;0;0;0;;0,09
"Phyto""""";0;0,05;0,05;0;0,05;0;0;0;0;0;0;;0,14
"Pleust""""";0;0;0;0;0,05;0;0;0;0;0;0;;0,05
"ZooBenth""""";0;0,32;0,36;0;0;0;0;0,09;0,05;0,05;0,05;;0,91
"Zoopl""""";0;0,05;0,05;0;0,09;0;0;0;0;0;0;;0,18
