TI3;"Mojar""""";"Snoo""""";"Jack""""";"Mollu""""";"Zoopl""""";"MeioFau""""";"Crus""""";"BenthProd""""";"WhMull""""";"PortCrab""""";"CatFish""""";"Croak""""";"Goby""""";"Anch""""";"Snap""""";"Oyst""""";"Shri""""";"Phyto""""";"BayWhi""""";"SpaFish""""";"Shhep""""";"ToFish""""";;SUM
"Mojar""""";0,05;0,07;0,08;0,06;0,08;0,05;0,05;0,06;0,01;0,02;0,02;0,02;0,03;0,03;0,02;0,01;0,03;0,03;0,03;0,04;0,04;0,02;;0,85
"Snoo""""";0,09;0,05;0,05;0,07;0,09;0,06;0,06;0,04;0,01;0,03;0,06;0,04;0,06;0,07;0,03;0,02;0,06;0,04;0,04;0,02;0,04;0,02;;1,04
"Jack""""";0,08;0,04;0,05;0,02;0,08;0,03;0,05;0,02;0,01;0,02;0,02;0,06;0,05;0,07;0,03;0,01;0,05;0,03;0,04;0,01;0,02;0,02;;0,8
"Mollu""""";0,08;0,07;0,03;0,05;0,04;0,04;0,04;0,07;0,04;0,06;0,06;0,06;0,05;0,03;0,03;0,04;0,03;0,1;0,03;0,05;0,12;0,03;;1,16
"Zoopl""""";0,08;0,07;0,08;0,03;0,06;0,02;0,03;0,02;0;0,01;0,03;0,03;0,05;0,08;0,02;0,02;0,03;0,1;0,08;0,01;0,01;0,01;;0,86
"MeioFau""""";0,08;0,08;0,04;0,05;0,04;0,06;0,05;0,08;0,04;0,07;0,07;0,07;0,07;0,04;0,09;0,03;0,08;0,03;0,09;0,06;0,12;0,03;;1,34
"Crus""""";0,09;0,08;0,09;0,05;0,04;0,05;0,06;0,08;0,05;0,08;0,06;0,07;0,07;0,04;0,04;0,05;0,08;0,03;0,09;0,06;0,13;0,16;;1,56
"BenthProd""""";0,09;0,04;0,03;0,08;0,03;0,07;0,07;0,08;0,04;0,06;0,06;0,03;0,06;0,02;0,03;0,03;0,07;0,03;0,03;0,4;0,14;0,03;;1,53
"WhMull""""";0;0;0;0;0;0;0;0;0,03;0,03;0;0;0;0;0,01;0,01;0;0;0;0;0;0,01;;0,14
"PortCrab""""";0,03;0,04;0,03;0,08;0,02;0,07;0,08;0,08;0,4;0,09;0,08;0,07;0,06;0,03;0,09;0,16;0,07;0,05;0,04;0,05;0,05;0,19;;1,86
"CatFish""""";0,04;0,08;0,04;0,09;0,05;0,08;0,07;0,08;0,06;0,08;0,06;0,08;0,07;0,09;0,1;0,14;0,08;0,12;0,05;0,05;0,05;0,07;;1,63
"Croak""""";0,04;0,04;0,09;0,07;0,04;0,07;0,07;0,04;0,05;0,07;0,07;0,05;0,07;0,08;0,1;0,03;0,08;0,04;0,09;0,02;0,04;0,03;;1,28
"Goby""""";0,06;0,09;0,1;0,08;0,1;0,08;0,08;0,08;0,05;0,07;0,08;0,09;0,06;0,1;0,1;0,04;0,09;0,05;0,11;0,05;0,05;0,04;;1,66
"Anch""""";0,04;0,07;0,09;0,03;0,1;0,03;0,03;0,02;0,01;0,03;0,06;0,07;0,06;0,06;0,08;0,03;0,04;0,11;0,09;0;0,02;0,02;;1,07
"Snap""""";0,02;0,03;0,03;0,02;0,02;0,06;0,02;0,02;0,04;0,05;0,05;0,06;0,05;0,06;0,04;0,03;0,06;0,02;0,03;0,01;0,02;0,02;;0,79
"Oyst""""";0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,01;0,04;0,05;0,04;0,01;0,01;0,01;0,01;0,07;0,01;0,09;0,01;0,01;0,01;0,15;;0,62
"Shri""""";0,04;0,07;0,09;0,04;0,04;0,08;0,07;0,07;0,05;0,07;0,07;0,08;0,07;0,05;0,09;0,03;0,05;0,03;0,09;0,05;0,04;0,04;;1,29
"Phyto""""";0,02;0,02;0,02;0,05;0,07;0,01;0,01;0,01;0,01;0,02;0,05;0,02;0,02;0,06;0,02;0,11;0,01;0,05;0,02;0,01;0,01;0,03;;0,67
"BayWhi""""";0,03;0,03;0,04;0,02;0,08;0,05;0,05;0,02;0,01;0,02;0,03;0,06;0,05;0,07;0,03;0,01;0,06;0,02;0,04;0,01;0,02;0,02;;0,78
"SpaFish""""";0,01;0;0;0,01;0;0,01;0;0,04;0;0;0;0;0;0;0;0;0;0;0;0,03;0,01;0;;0,14
"Shhep""""";0,02;0,02;0,01;0,05;0,01;0,05;0,04;0,06;0,01;0,02;0,02;0,01;0,02;0,01;0,01;0,01;0,02;0,01;0,01;0,04;0,04;0,01;;0,49
"ToFish""""";0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,04;0,05;0,02;0,01;0,01;0,01;0,01;0,11;0,01;0,02;0,01;0,01;0,01;0,05;;0,44
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"Mojar""""";"Snoo""""";"Jack""""";"Mollu""""";"Zoopl""""";"MeioFau""""";"Crus""""";"BenthProd""""";"WhMull""""";"PortCrab""""";"CatFish""""";"Croak""""";"Goby""""";"Anch""""";"Snap""""";"Oyst""""";"Shri""""";"Phyto""""";"BayWhi""""";"SpaFish""""";"Shhep""""";"ToFish""""";;SUM
"Anch""""";0,05;0,02;0,02;0,02;0,07;0,07;0,07;0;0;0,02;0,07;0,07;0,11;0;0;0,02;0,09;0;0,02;0;0;0;;0,73
"BayWhi""""";0,02;0,02;0,02;0;0;0;0;0;0;0;0;0;0,02;0,02;0;0;0;0;0;0;0;0;;0,11
"BenthProd""""";0;0,02;0,02;0,07;0,02;0,07;0,07;0;0;0,07;0,07;0,02;0,07;0;0;0;0,05;0;0;0;0;0;;0,55
"CatFish""""";0;0,02;0;0,05;0,05;0,11;0,11;0,07;0;0,2;0;0,11;0,23;0,07;0;0,02;0,14;0,02;0;0;0;0,02;;1,23
"Croak""""";0,02;0,02;0;0;0,07;0,07;0,07;0,02;0;0,07;0,11;0;0,14;0,07;0;0;0,09;0;0;0;0;0;;0,75
"Crus""""";0,02;0,02;0,02;0,07;0,07;0,16;0;0,07;0;0,11;0,11;0,07;0,16;0,07;0;0,02;0,11;0;0;0;0;0;;1,09
