Species                 Kbu       Ktd      Kdir    Kindir         K
Phyto               8.94792   0.00000   1.91667   7.03125   8.94792
HerbZoopl           6.47917   0.25000   2.95000   3.77917   6.72917
InFau               0.87500   0.59694   1.11905   0.35289   1.47194
Berna               0.37500   0.59694   0.78571   0.18622   0.97194
HerbFish            0.54167   0.93027   1.31905   0.15289   1.47194
Periph              2.84375   0.00000   2.25000   0.59375   2.84375
Gastro              0.20833   0.33333   0.50000   0.04167   0.54167
DetFish             0.25000   0.33333   0.58333   0.00000   0.58333
CarnZoopl           2.84375   0.17857   2.00952   1.01280   3.02232
Shri                0.50000   1.14541   1.15238   0.49303   1.64541
Crab                0.50000   2.74235   2.15238   1.08997   3.24235
ZooplFish           0.45833   4.25595   2.20238   2.51190   4.71429
BenthFFish          0.25000   8.07355   3.89286   4.43070   8.32355
Bivalv              0.20833   0.00000   0.16667   0.04167   0.20833
PiscFish            0.00000  14.00000   3.00000  11.00000  14.00000
