Species                Kbu       Ktd      Kdir    Kindir         K
Herr               1.02201   0.74583   1.41786   0.34998   1.76784
LizFish            0.09479   1.05450   0.74286   0.40643   1.14929
SpanMack           0.23750   1.92557   1.38849   0.77458   2.16307
KingMack           0.33229   0.71215   0.74167   0.30278   1.04445
Jack               0.13750   8.81165   4.66230   4.28685   8.94915
CatFish            0.09479   1.75137   1.28016   0.56601   1.84616
Anch               1.20248   0.64583   1.44286   0.40545   1.84831
Trout              0.44375   1.19648   1.24563   0.39459   1.64023
Sha                0.00000  22.00000   3.57063  18.42937  22.00000
RedGroup           0.10000  14.98260   3.19444  11.88816  15.08260
Mojar              0.59844   1.01790   1.24683   0.36952   1.61634
RedSnap            0.23750   2.30422   1.46786   1.07387   2.54172
Gru                0.40104   0.92217   1.03730   0.28591   1.32322
Flou               0.09479   0.47897   0.44444   0.12932   0.57377
Shri               4.18352   0.33028   2.87738   1.63642   4.51380
Crab               1.47912   0.44010   1.52738   0.39184   1.91922
Ofish              1.57626   0.44010   1.33452   0.68184   2.01636
Mollu              1.18688   0.55447   1.43571   0.30564   1.74135
MicroCrus          7.45253   0.44333   3.09405   4.80181   7.89586
Zoopl              3.94448   0.45361   2.50238   1.89571   4.39809
Anne               8.75924   0.10000   2.41786   6.44139   8.85924
Phyto              7.42746   0.00000   1.33333   6.09413   7.42746
BenthProd         13.57254   0.00000   2.59405  10.97849  13.57254
