Species                Kbu       Ktd      Kdir    Kindir         K
Copep              2.28206   0.33333   1.17619   1.43920   2.61539
Mollu              3.20741   0.66667   2.66587   1.20820   3.87407
Oogli              0.11111   0.98871   0.81313   0.28669   1.09982
Mojar              0.41270   1.07898   1.18218   0.30950   1.49168
Ofish              1.46296   0.79609   1.94012   0.31893   2.25905
Worm               5.12593   0.08333   2.49921   2.71005   5.20926
MicroCrus          3.20741   0.34028   2.41587   1.13181   3.54769
Deca               2.15556   0.34086   1.99921   0.49721   2.49641
Ochry              0.00000   0.74565   0.53535   0.21030   0.74565
Lrhom              0.14286   0.99565   0.92821   0.21030   1.13851
Hjagu              0.11111   1.43865   0.97980   0.56996   1.54976
Arhom              0.00000   0.54609   0.42424   0.12184   0.54609
CatFish            0.00000   5.86600   2.86869   2.99731   5.86600
Hplum              0.00000   0.74565   0.53535   0.21030   0.74565
Bchry              0.00000   3.35096   1.78535   1.56561   3.35096
Aquad              0.00000   0.74565   0.53535   0.21030   0.74565
Phyto              5.31047   0.00000   1.47619   3.83428   5.31047
BenthProd         10.68953   0.00000   3.23968   7.44985  10.68953
