TI3;"ShaRay""""";"ScomJack""""";"SchoolFishOne""""";"ReefCarnBG""""";"SchoolFishTwo""""";"ReefOmnSM""""";"BigGroup""""";"ReefHerbSM""""";"ReefHerbBG""""";"Bird""""";"Cepha""""";"Echino""""";"Crus""""";"WormMollu""""";"Sess""""";"Zoopl""""";"BenthProd""""";"Decomp""""";"Phyto""""";"Turtle""""";;SUM
"ShaRay""""";0,05;0,07;0,07;0,07;0,07;0,07;0,13;0,07;0,09;0,08;0,08;0,06;0,06;0,06;0,06;0,04;0,04;0,04;0,04;0,04;;1,31
"ScomJack""""";0,06;0,05;0,07;0,06;0,07;0,06;0,04;0,07;0,07;0,08;0,08;0,03;0,05;0,05;0,03;0,06;0,03;0,03;0,03;0,02;;1,07
"SchoolFishOne""""";0,06;0,07;0,04;0,06;0,06;0,04;0,04;0,04;0,07;0,07;0,07;0,03;0,05;0,05;0,03;0,05;0,06;0,03;0,03;0,03;;0,98
"ReefCarnBG""""";0,08;0,08;0,08;0,06;0,07;0,08;0,13;0,08;0,09;0,09;0,08;0,07;0,07;0,07;0,07;0,07;0,08;0,05;0,05;0,05;;1,49
"SchoolFishTwo""""";0,06;0,07;0,07;0,06;0,05;0,06;0,03;0,04;0,04;0,07;0,08;0,04;0,05;0,04;0,06;0,07;0,03;0,09;0,09;0,03;;1,1
"ReefOmnSM""""";0,06;0,07;0,04;0,06;0,07;0,05;0,04;0,08;0,04;0,08;0,08;0,07;0,06;0,06;0,06;0,06;0,07;0,04;0,04;0,04;;1,16
"BigGroup""""";0,04;0,01;0,02;0,03;0,01;0,01;0,03;0,01;0,05;0,02;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;0,36
"ReefHerbSM""""";0,05;0,06;0,03;0,05;0,03;0,06;0,03;0,04;0,03;0,07;0,03;0,06;0,05;0,05;0,03;0,05;0,06;0,03;0,03;0,03;;0,88
"ReefHerbBG""""";0,06;0,05;0,06;0,05;0,03;0,03;0,12;0,03;0,05;0,07;0,03;0,02;0,05;0,02;0,05;0,02;0,06;0,02;0,02;0,03;;0,85
"Bird""""";0,05;0,06;0,06;0,05;0,06;0,05;0,03;0,06;0,07;0,04;0,03;0,02;0,03;0,02;0,02;0,05;0,03;0,02;0,02;0,01;;0,8
"Cepha""""";0,05;0,06;0,06;0,05;0,06;0,05;0,03;0,03;0,03;0,03;0,04;0,02;0,04;0,05;0,02;0,05;0,02;0,03;0,03;0,02;;0,77
"Echino""""";0,05;0,03;0,03;0,05;0,04;0,06;0,03;0,07;0,03;0,03;0,03;0,05;0,06;0,07;0,07;0,06;0,07;0,1;0,1;0,11;;1,14
