Species                     Kbu       Ktd      Kdir    Kindir         K
Phyto                  23.13945   0.00000   2.83333  20.30612  23.13945
MicroMesoZoopl         16.54574   0.20000   4.60952  12.13621  16.74574
MacroZoopl              3.87211   0.33333   1.79841   2.40703   4.20544
Jelly                   0.00000   0.33333   0.31111   0.02222   0.33333
Sard                    2.64358   0.33333   2.26627   0.71064   2.97691
SpelaFish               1.50762   0.50000   1.52778   0.47984   2.00762
SupBenth                5.58505   0.13333   2.27460   3.44378   5.71838
DemFishThree            2.32625   0.38718   2.02097   0.69246   2.71343
Anch                    1.85954   0.13333   1.80675   0.18613   1.99288
HorMack                 0.52399   1.14983   1.25259   0.42123   1.67382
Mack                    0.72399   0.75930   1.13668   0.34661   1.48329
Crab                    3.36716   0.51994   2.86793   1.01917   3.88710
Gadi                    0.12500   0.95176   0.69110   0.38566   1.07676
FlatFish                0.31548   1.65320   1.26162   0.70706   1.96867
DemFishOne              2.21703   1.43211   2.78830   0.86084   3.64915
Shri                    3.91258   0.27809   2.75077   1.43990   4.19067
NorLobs                 0.70235   0.63059   0.97362   0.35933   1.33294
MantShri                0.00000   0.63535   0.46608   0.16927   0.63535
VulHake                 0.00000   1.45556   0.87320   0.58236   1.45556
DemSkate                0.00000   5.11263   1.55209   3.56054   5.11263
DemFishTwo              1.18037   1.99415   2.14862   1.02590   3.17451
Polych                  4.43144   0.00000   1.81111   2.62033   4.43144
OctoCepha               0.65595   0.88064   1.18430   0.35229   1.53659
Mull                    0.19048   0.28591   0.42008   0.05631   0.47638
BenthInv                5.42911   0.00000   2.80000   2.62911   5.42911
DemSha                  0.00000   1.96466   1.12127   0.84338   1.96466
Turtle                  0.00000   0.09091   0.09091   0.00000   0.09091
SquidCepha              0.46786   2.19480   1.68870   0.97396   2.66266
CongEel                 0.14286   0.37991   0.43201   0.09076   0.52277
AngFish                 0.00000   5.49604   2.49600   3.00004   5.49604
STuniAtlBoni            0.00000   0.90078   0.59616   0.30461   0.90078
LpelaFish               0.00000   1.52588   0.67949   0.84639   1.52588
NonVulHake              0.00000   1.57842   0.84654   0.73188   1.57842
Dolph                   0.00000   3.98664   2.15593   1.83071   3.98664
TurBrill                0.14286   3.18536   2.00712   1.32110   3.32822
Bird                    0.00000   0.91980   0.45904   0.46075   0.91980
