Species               Kbu       Ktd      Kdir    Kindir         K
Bird              0.05000   3.76968   1.64438   2.17531   3.81968
Sha               0.00000  11.05039   3.83918   7.21121  11.05039
Acod              0.19091   3.04772   1.58819   1.65045   3.23863
GeySeal           0.00000   6.65004   2.02462   4.62542   6.65004
HarSeal           0.00000   6.86472   2.05915   4.80557   6.86472
Jcod              1.07807   0.47713   1.18617   0.36904   1.55520
Awhit             0.26091   2.60430   1.55836   1.30684   2.86521
Jwhit             0.60098   0.82777   1.07224   0.35650   1.42874
Poll              0.47879   1.86454   1.38931   0.95401   2.34333
Gurna             0.67238   1.31128   1.36362   0.62004   1.98366
MonkFish          0.00000   3.21461   1.50198   1.71264   3.21461
FlatFish          0.94514   1.54116   1.72701   0.75929   2.48630
Mack              0.39180   1.91202   1.58148   0.72234   2.30382
Ahadd             0.34597   1.59603   1.27179   0.67021   1.94201
Jhadd             0.78857   0.42044   0.90278   0.30624   1.20901
Ldem              0.33377   3.64479   2.29943   1.67912   3.97855
Cepha             0.68356   2.02888   1.82748   0.88496   2.71244
Ray               0.05000   1.59344   0.93134   0.71210   1.64344
Opela             1.21167   2.16308   2.25575   1.11901   3.37475
Cet               0.00000   2.22023   0.71745   1.50278   2.22023
OSFish            3.06373   0.24248   1.45238   1.85382   3.30620
NorPout           1.78458   0.38725   1.55696   0.61487   2.17183
PoorCod           2.09858   0.70276   1.92434   0.87700   2.80134
Crus              6.77153   0.60447   3.57696   3.79904   7.37600
HorMack           0.77875   0.53875   0.96448   0.35302   1.31750
BlueWhit          0.11115   0.54614   0.37995   0.27733   0.65728
Herr              1.62248   0.36970   1.51352   0.47866   1.99218
Sande             3.35024   0.24722   2.32983   1.26762   3.59746
Sprat             2.11675   0.11604   1.31928   0.91351   2.23279
Neph              2.11645   0.24248   0.90519   1.45374   2.35893
Lzoopl            9.46030   0.18056   3.70119   5.93966   9.64085
Szoopl           13.51595   0.11111   2.93393  10.69314  13.62707
EpiFau            5.81400   0.24228   2.48337   3.57292   6.05629
InFau             8.57500   0.11111   2.62008   6.06603   8.68611
Phyto            34.00000   0.00000   3.59683  30.40317  34.00000
