Species                 Kbu       Ktd      Kdir    Kindir         K
LophLit             0.04765   3.99674   2.09837   1.94602   4.04439
TriLepTwo           0.14359  14.85414   6.60268   8.39506  14.99773
SerLal              0.41981   3.13687   2.16902   1.38767   3.55669
MarMamm             0.00000  13.46045   3.19841  10.26204  13.46045
ShaRay              0.00000   2.54663   1.11667   1.42996   2.54663
Saur                0.40541   1.23059   1.08726   0.54874   1.63600
Bran                0.21981   0.99281   0.94054   0.27207   1.21262
ScoNiph             0.00000  13.28549   3.77734   9.50815  13.28549
NibAlb              0.04765   0.26379   0.25605   0.05539   0.31144
AciSin              0.20952   1.22928   0.93290   0.50591   1.43880
Bird                0.00000   2.91961   1.60952   1.31009   2.91961
Tham                0.70418   0.34289   0.88177   0.16530   1.04707
PenArg              0.14289   0.85090   0.78858   0.20521   0.99379
ChampCap            0.47566   0.66182   0.94612   0.19136   1.13748
HarNeh              0.00000   0.93613   0.70045   0.23568   0.93613
PriMac              0.12457   1.51102   1.16904   0.46656   1.63560
Spar                0.49883   0.40970   0.78571   0.12283   0.90853
Ljelly              0.64201   1.36345   1.43680   0.56866   2.00547
Strom               0.36267   0.73965   0.74001   0.36230   1.10232
Cepha               2.06906   0.77455   2.28495   0.55866   2.84361
Sphyr               0.00000   0.21205   0.13333   0.07871   0.21205
Argentin            0.56355   0.47422   0.70952   0.32825   1.03776
ScomberJap          0.61570   1.08826   1.36116   0.34280   1.70396
DecaMar             0.44486   0.91380   1.10948   0.24918   1.35866
LarPoly             1.56867   0.59500   1.08025   1.08342   2.16367
Crab                2.87393   0.62025   2.40255   1.09163   3.49418
LarCroOne           0.06667   0.21295   0.25432   0.02529   0.27962
TraJap              0.70363   0.96169   1.26504   0.40028   1.66532
Shri                5.13439   0.17070   3.28852   2.01657   5.30509
Pleuron             0.00000   0.53847   0.44771   0.09076   0.53847
Coilia              0.00000   0.10116   0.09004   0.01113   0.10116
SDemFish            3.98692   0.28336   3.21990   1.05038   4.27028
SetTat              0.98028   0.14878   0.83363   0.29543   1.12906
EngJap              2.46719   0.25041   2.00082   0.71677   2.71760
SPelaFish           0.67334   0.25041   0.74920   0.17455   0.92375
MacroBenth          7.42261   0.31904   3.41160   4.33005   7.74165
Sard                0.45268   0.08374   0.42655   0.10988   0.53642
TriLepOne           0.98563   0.08374   0.81865   0.25072   1.06937
MicroBenth          8.98900   0.16667   3.10162   6.05405   9.15567
Zoopl              13.86812   0.04762   6.07468   7.84107  13.91574
HetBaci            14.94332   0.00000   2.33333  12.60998  14.94332
Phyto              25.05668   0.00000   5.36591  19.69077  25.05668
