Source,Target,Type,Weight
0,12,Directed,0.00277
0,13,Directed,0.211091
0,14,Directed,0.131236
0,16,Directed,0.281252
0,17,Directed,0.166142
0,19,Directed,0.1418
0,20,Directed,0.300628
0,21,Directed,0.087129
0,22,Directed,0.0774
0,23,Directed,0.002778
0,24,Directed,0.583687
0,41,Directed,0.131056
0,42,Directed,0.066149
0,49,Directed,0.084982
0,50,Directed,0.062557
0,51,Directed,0.042669
1,12,Directed,0.026828
1,16,Directed,0.001858
1,18,Directed,0.062796
1,19,Directed,0.025609
1,23,Directed,0.005646
1,24,Directed,0.000369
1,41,Directed,0.025874
1,49,Directed,0.007726
1,50,Directed,0.0236
1,51,Directed,0.015222
2,13,Directed,6.876304
2,14,Directed,0.212199
2,16,Directed,3.461596
2,17,Directed,0.272002
2,18,Directed,4.317082
2,19,Directed,0.245351
2,20,Directed,1.788908
2,21,Directed,0.487781
2,22,Directed,0.368635
2,23,Directed,0.076714
2,24,Directed,0.099094
2,41,Directed,1.801597
2,42,Directed,0.680974
2,43,Directed,0.309184
2,44,Directed,0.025928
2,45,Directed,0.064878
2,46,Directed,0.015547
2,47,Directed,0.143081
2,48,Directed,0.275772
2,49,Directed,5.743992
2,51,Directed,0.701378
2,52,Directed,1.100713
3,13,Directed,0.290251
3,14,Directed,0.211294
3,16,Directed,0.50083
3,17,Directed,0.192344
3,18,Directed,0.823056
3,20,Directed,1.131641
3,21,Directed,0.105883
3,22,Directed,0.187576
3,23,Directed,0.01873
3,24,Directed,0.011982
3,41,Directed,1.268374
3,42,Directed,0.625805
3,43,Directed,0.300688
3,44,Directed,0.053899
3,45,Directed,0.06613
3,46,Directed,0.015683
3,47,Directed,0.142917
3,48,Directed,0.297224
3,49,Directed,1.255412
3,50,Directed,0.181909
3,51,Directed,0.279306
3,52,Directed,0.494252
3,53,Directed,0.003481
4,13,Directed,7.3882
4,14,Directed,0.212199
4,16,Directed,3.684518
4,17,Directed,0.273735
4,18,Directed,0.589552
4,20,Directed,4.134492
4,21,Directed,0.148147
4,22,Directed,0.193894
4,41,Directed,7.240135
4,42,Directed,0.20668
4,43,Directed,0.352386
4,44,Directed,0.054871
4,45,Directed,0.188834
4,46,Directed,0.042901
4,47,Directed,0.143081
4,48,Directed,0.275772
4,49,Directed,4.121614
4,50,Directed,0.179108
4,51,Directed,0.86767
4,52,Directed,0.888318
4,53,Directed,0.003559
5,13,Directed,4.000183
5,14,Directed,0.111571
5,16,Directed,0.121864
5,17,Directed,0.11673
5,18,Directed,0.724289
5,20,Directed,0.322346
5,21,Directed,0.059223
5,22,Directed,0.14315
5,23,Directed,0.000627
5,24,Directed,0.012764
5,41,Directed,1.924215
5,42,Directed,0.395245
5,43,Directed,0.289743
5,44,Directed,0.033317
5,45,Directed,0.001779
5,46,Directed,0.000608
5,47,Directed,0.094718
5,48,Directed,0.253286
5,49,Directed,0.540793
5,50,Directed,0.14102
5,51,Directed,0.098484
5,52,Directed,0.082821
5,53,Directed,5.60E-05
6,13,Directed,1.395842
6,14,Directed,0.114533
6,16,Directed,0.50083
6,18,Directed,0.446279
6,20,Directed,0.761286
6,21,Directed,0.08031
6,22,Directed,0.09675
6,23,Directed,0.050455
6,41,Directed,1.42924
6,42,Directed,0.489665
6,43,Directed,0.260941
6,44,Directed,0.033317
6,45,Directed,0.001779
6,46,Directed,0.000608
6,47,Directed,0.094718
6,48,Directed,0.253286
6,49,Directed,0.540793
6,50,Directed,0.14102
6,51,Directed,0.043591
6,52,Directed,0.07347
6,53,Directed,3.80E-05
7,14,Directed,0.103179
7,20,Directed,0.233187
7,21,Directed,0.039033
7,22,Directed,0.117482
7,41,Directed,0.309359
7,42,Directed,0.004392
7,43,Directed,0.289743
7,44,Directed,0.024184
7,45,Directed,0.017793
7,46,Directed,0.000608
7,47,Directed,0.094718
7,48,Directed,0.253286
7,49,Directed,0.347653
7,50,Directed,0.144883
7,53,Directed,3.80E-05
8,13,Directed,0.976298
8,14,Directed,0.117989
8,20,Directed,0.65498
8,21,Directed,0.095115
8,22,Directed,0.137226
8,41,Directed,0.556847
8,42,Directed,0.581888
8,43,Directed,0.289743
8,44,Directed,0.033317
8,45,Directed,0.001779
8,46,Directed,0.000608
8,47,Directed,0.094718
8,48,Directed,0.253286
8,49,Directed,0.019314
8,50,Directed,0.14102
8,53,Directed,5.60E-05
9,13,Directed,3.84978
9,14,Directed,0.135761
9,16,Directed,0.456246
9,17,Directed,0.003151
9,18,Directed,1.048025
9,20,Directed,4.094484
9,21,Directed,0.085245
9,22,Directed,0.137226
9,41,Directed,0.890955
9,42,Directed,0.065874
9,43,Directed,0.059331
9,44,Directed,0.033317
9,45,Directed,0.124253
9,46,Directed,0.027596
9,47,Directed,0.019616
9,48,Directed,0.052208
9,49,Directed,0.077256
9,50,Directed,0.060851
9,51,Directed,0.292222
9,52,Directed,0.372693
9,53,Directed,5.60E-05
10,13,Directed,0.031664
10,14,Directed,0.19056
10,17,Directed,0.011657
10,18,Directed,0.003658
10,20,Directed,1.148787
10,21,Directed,0.349953
10,22,Directed,1.302169
10,23,Directed,0.07985
10,24,Directed,0.003126
10,41,Directed,1.280748
10,43,Directed,0.537436
10,44,Directed,0.053127
10,45,Directed,0.031434
10,46,Directed,0.001216
10,47,Directed,0.127224
10,48,Directed,0.432138
10,49,Directed,0.714619
10,50,Directed,0.220223
10,53,Directed,5.60E-05
11,13,Directed,0.282335
11,14,Directed,0.136255
11,15,Directed,0.041919
11,16,Directed,0.081738
11,18,Directed,0.424331
11,20,Directed,0.905313
11,21,Directed,0.367451
11,22,Directed,0.668361
11,23,Directed,0.027244
11,24,Directed,0.052097
11,41,Directed,1.930403
11,42,Directed,0.013175
11,43,Directed,0.361171
11,44,Directed,0.035247
11,45,Directed,0.018089
11,46,Directed,0.000608
11,47,Directed,0.094718
11,48,Directed,0.253286
11,50,Directed,0.149713
11,52,Directed,0.036067
11,53,Directed,5.60E-05
12,13,Directed,0.002639
12,14,Directed,0.005348
12,19,Directed,0.000289
12,21,Directed,0.01669
12,23,Directed,0.005198
12,24,Directed,0.011657
12,41,Directed,0.013499
12,42,Directed,0.000274
12,43,Directed,0.009072
12,44,Directed,0.002901
12,45,Directed,0.000231
12,47,Directed,0.011373
12,48,Directed,0.014732
12,49,Directed,0.007726
12,50,Directed,0.015873
13,13,Directed,1.081844
13,14,Directed,0.158964
13,16,Directed,0.005945
13,17,Directed,0.000473
13,20,Directed,3.947028
13,21,Directed,0.228815
13,22,Directed,0.594318
13,23,Directed,0.054309
13,24,Directed,0.013024
13,41,Directed,0.346483
13,42,Directed,0.004392
13,43,Directed,0.365779
13,44,Directed,0.042322
13,45,Directed,0.018979
13,46,Directed,0.000851
13,47,Directed,0.124422
13,48,Directed,0.269311
13,49,Directed,0.309025
13,50,Directed,0.157762
13,51,Directed,0.004843
13,52,Directed,0.001336
13,53,Directed,9.40E-05
14,14,Directed,0.099723
14,20,Directed,0.823012
14,21,Directed,0.029163
14,22,Directed,1.997186
14,41,Directed,0.606344
14,42,Directed,0.010979
14,43,Directed,0.013249
14,44,Directed,0.04155
14,45,Directed,0.132556
14,46,Directed,0.055436
14,47,Directed,0.00411
14,48,Directed,0.012406
14,49,Directed,0.154512
14,50,Directed,0.070188
14,53,Directed,0.006642
15,14,Directed,0.001399
15,22,Directed,0.012242
15,41,Directed,0.025874
15,44,Directed,0.026957
15,45,Directed,0.073774
15,46,Directed,0.041807
15,49,Directed,0.052148
15,50,Directed,0.002028
15,52,Directed,0.017366
15,53,Directed,0.003502
16,16,Directed,1.423724
16,17,Directed,0.269376
16,18,Directed,1.300429
16,20,Directed,0.908742
16,21,Directed,0.220291
16,22,Directed,0.193499
16,41,Directed,0.822896
16,42,Directed,0.076853
16,43,Directed,0.040322
16,44,Directed,0.053899
16,45,Directed,0.188603
16,46,Directed,0.070511
16,47,Directed,0.057727
16,48,Directed,0.036701
16,49,Directed,1.023643
16,50,Directed,0.086286
16,51,Directed,0.387476
16,52,Directed,0.757408
16,53,Directed,0.008618
17,42,Directed,2.169456
17,43,Directed,0.006336
17,44,Directed,0.060074
17,45,Directed,0.223596
17,46,Directed,0.07282
17,50,Directed,0.08693
17,53,Directed,0.005965
18,16,Directed,1.533699
18,17,Directed,0.269691
18,18,Directed,1.772314
18,20,Directed,1.100778
18,21,Directed,0.262016
18,22,Directed,0.216206
18,41,Directed,0.90333
18,42,Directed,0.083441
18,43,Directed,0.046082
18,44,Directed,0.053899
18,45,Directed,0.188603
18,46,Directed,0.070511
18,47,Directed,0.059969
18,48,Directed,0.042387
18,49,Directed,1.886981
18,50,Directed,0.086286
18,51,Directed,0.424609
18,52,Directed,0.748057
18,53,Directed,0.008618
19,42,Directed,0.059561
19,43,Directed,0.119094
19,47,Directed,0.023142
19,48,Directed,0.128452
20,14,Directed,0.681769
20,20,Directed,0.233187
20,21,Directed,0.208626
20,22,Directed,1.638818
20,41,Directed,1.484925
20,42,Directed,0.02635
20,43,Directed,0.024193
20,44,Directed,0.000643
20,45,Directed,0.150349
20,46,Directed,0.055436
20,47,Directed,0.006165
20,48,Directed,0.02016
20,50,Directed,0.060851
